MANDT,AUFNR,AUART,ERDAT,KTEXT,IDAT2
100,800001,PM02,2024-01-01,Mant. Preventivo 1000102,2024-01-02
100,800002,PM02,2024-01-01,Mant. Preventivo 1000054,2024-01-02
100,800003,PM02,2024-01-02,Mant. Preventivo 1000105,2024-01-03
100,800004,PM02,2024-01-02,Mant. Preventivo 1000186,2024-01-03
100,800005,PM02,2024-01-02,Mant. Preventivo 1000167,2024-01-03
100,800006,PM02,2024-01-02,Mant. Preventivo 1000025,2024-01-03
100,800007,PM02,2024-01-02,Mant. Preventivo 1000186,2024-01-03
100,800008,PM01,2024-01-03,FALLA CRITICA SISTEMA HIDRÁULICO - 1000154,2024-01-10
100,800009,PM02,2024-01-03,Mant. Preventivo 1000017,2024-01-04
100,800010,PM02,2024-01-03,Mant. Preventivo 1000172,2024-01-04
100,800011,PM02,2024-01-03,Mant. Preventivo 1000103,2024-01-04
100,800012,PM02,2024-01-03,Mant. Preventivo 1000145,2024-01-04
100,800013,PM02,2024-01-03,Mant. Preventivo 1000152,2024-01-04
100,800014,PM02,2024-01-03,Mant. Preventivo 1000020,2024-01-04
100,800015,PM02,2024-01-04,Mant. Preventivo 1000197,2024-01-05
100,800016,PM02,2024-01-04,Mant. Preventivo 1000164,2024-01-05
100,800017,PM02,2024-01-04,Mant. Preventivo 1000173,2024-01-05
100,800018,PM02,2024-01-04,Mant. Preventivo 1000137,2024-01-05
100,800019,PM02,2024-01-05,Mant. Preventivo 1000161,2024-01-06
100,800020,PM02,2024-01-05,Mant. Preventivo 1000183,2024-01-06
100,800021,PM01,2024-01-06,FALLA CRITICA SISTEMA HIDRÁULICO - 1000157,2024-01-13
100,800022,PM02,2024-01-06,Mant. Preventivo 1000089,2024-01-07
100,800023,PM02,2024-01-06,Mant. Preventivo 1000017,2024-01-07
100,800024,PM02,2024-01-06,Mant. Preventivo 1000166,2024-01-07
100,800025,PM02,2024-01-06,Mant. Preventivo 1000007,2024-01-07
100,800026,PM02,2024-01-06,Mant. Preventivo 1000051,2024-01-07
100,800027,PM01,2024-01-07,FALLA CRITICA SISTEMA TRANSMISIÓN - 1000063,2024-01-14
100,800028,PM02,2024-01-07,Mant. Preventivo 1000078,2024-01-08
100,800029,PM02,2024-01-07,Mant. Preventivo 1000094,2024-01-08
100,800030,PM01,2024-01-08,FALLA CRITICA SISTEMA HIDRÁULICO - 1000179,2024-01-15
100,800031,PM02,2024-01-08,Mant. Preventivo 1000172,2024-01-09
100,800032,PM02,2024-01-08,Mant. Preventivo 1000147,2024-01-09
100,800033,PM01,2024-01-09,FALLA CRITICA SISTEMA TRANSMISIÓN - 1000147,2024-01-16
100,800034,PM02,2024-01-09,Mant. Preventivo 1000169,2024-01-10
100,800035,PM02,2024-01-09,Mant. Preventivo 1000166,2024-01-10
