MANDT,BUKRS,BELNR,GJAHR,BLART,BLDAT,BUDAT,WAERS,XBLNR
100,1000,100000001,2024,KR,2024-01-01,2024-01-01,USD,4500000001
100,2000,100000002,2024,KR,2024-01-01,2024-01-01,USD,4500000002
100,3000,100000003,2024,DR,2024-01-01,2024-01-01,USD,1000001
100,3000,100000004,2024,DR,2024-01-01,2024-01-01,USD,1000002
100,3000,100000005,2024,DR,2024-01-01,2024-01-01,USD,1000003
100,3000,100000006,2024,DR,2024-01-01,2024-01-01,USD,1000004
100,3000,100000007,2024,DR,2024-01-01,2024-01-01,USD,1000005
100,3000,100000008,2024,DR,2024-01-01,2024-01-01,USD,1000006
100,3000,100000009,2024,DR,2024-01-01,2024-01-01,USD,1000007
100,3000,100000010,2024,DR,2024-01-01,2024-01-01,USD,1000008
100,3000,100000011,2024,DR,2024-01-01,2024-01-01,USD,1000009
100,1000,100000012,2024,SA,2024-01-01,2024-01-01,USD,800001
100,1000,100000013,2024,SA,2024-01-01,2024-01-01,USD,800002
100,2000,100000014,2024,KR,2024-01-02,2024-01-02,USD,4500000003
100,2000,100000015,2024,KR,2024-01-02,2024-01-02,USD,4500000004
100,2000,100000016,2024,KR,2024-01-02,2024-01-02,USD,4500000005
100,1000,100000017,2024,KR,2024-01-02,2024-01-02,USD,4500000006
100,1000,100000018,2024,KR,2024-01-02,2024-01-02,USD,4500000007
100,2000,100000019,2024,KR,2024-01-02,2024-01-02,USD,4500000008
100,3000,100000020,2024,DR,2024-01-02,2024-01-02,USD,1000010
100,3000,100000021,2024,DR,2024-01-02,2024-01-02,USD,1000011
100,3000,100000022,2024,DR,2024-01-02,2024-01-02,USD,1000012
100,3000,100000023,2024,DR,2024-01-02,2024-01-02,USD,1000013
100,3000,100000024,2024,DR,2024-01-02,2024-01-02,USD,1000014
100,3000,100000025,2024,DR,2024-01-02,2024-01-02,USD,1000015
100,3000,100000026,2024,DR,2024-01-02,2024-01-02,USD,1000016
100,3000,100000027,2024,DR,2024-01-02,2024-01-02,USD,1000017
100,3000,100000028,2024,DR,2024-01-02,2024-01-02,USD,1000018
100,1000,100000029,2024,SA,2024-01-02,2024-01-02,USD,800003
100,1000,100000030,2024,SA,2024-01-02,2024-01-02,USD,800004
100,1000,100000031,2024,SA,2024-01-02,2024-01-02,USD,800005
100,1000,100000032,2024,SA,2024-01-02,2024-01-02,USD,800006
100,1000,100000033,2024,SA,2024-01-02,2024-01-02,USD,800007
100,1000,100000034,2024,KR,2024-01-03,2024-01-03,USD,4500000009
100,2000,100000035,2024,KR,2024-01-03,2024-01-03,USD,4500000010
100,3000,100000036,2024,DR,2024-01-03,2024-01-03,USD,1000019
100,3000,100000037,2024,DR,2024-01-03,2024-01-03,USD,1000020
100,3000,100000038,2024,DR,2024-01-03,2024-01-03,USD,1000021
100,3000,100000039,2024,DR,2024-01-03,2024-01-03,USD,1000022
100,3000,100000040,2024,DR,2024-01-03,2024-01-03,USD,1000023
100,1000,100000041,2024,SA,2024-01-03,2024-01-03,USD,800008
100,1000,100000042,2024,SA,2024-01-03,2024-01-03,USD,800009
100,1000,100000043,2024,SA,2024-01-03,2024-01-03,USD,800010
100,1000,100000044,2024,SA,2024-01-03,2024-01-03,USD,800011
100,1000,100000045,2024,SA,2024-01-03,2024-01-03,USD,800012
100,1000,100000046,2024,SA,2024-01-03,2024-01-03,USD,800013
100,1000,100000047,2024,SA,2024-01-03,2024-01-03,USD,800014
100,2000,100000048,2024,KR,2024-01-04,2024-01-04,USD,4500000011
100,2000,100000049,2024,KR,2024-01-04,2024-01-04,USD,4500000012
100,1000,100000050,2024,KR,2024-01-04,2024-01-04,USD,4500000013
100,2000,100000051,2024,KR,2024-01-04,2024-01-04,USD,4500000014
100,1000,100000052,2024,KR,2024-01-04,2024-01-04,USD,4500000015
100,1000,100000053,2024,KR,2024-01-04,2024-01-04,USD,4500000016
100,3000,100000054,2024,DR,2024-01-04,2024-01-04,USD,1000024
100,3000,100000055,2024,DR,2024-01-04,2024-01-04,USD,1000025
100,3000,100000056,2024,DR,2024-01-04,2024-01-04,USD,1000026
100,3000,100000057,2024,DR,2024-01-04,2024-01-04,USD,1000027
100,3000,100000058,2024,DR,2024-01-04,2024-01-04,USD,1000028
100,3000,100000059,2024,DR,2024-01-04,2024-01-04,USD,1000029
100,3000,100000060,2024,DR,2024-01-04,2024-01-04,USD,1000030
100,3000,100000061,2024,DR,2024-01-04,2024-01-04,USD,1000031
100,3000,100000062,2024,DR,2024-01-04,2024-01-04,USD,1000032
100,1000,100000063,2024,SA,2024-01-04,2024-01-04,USD,800015
100,1000,100000064,2024,SA,2024-01-04,2024-01-04,USD,800016
100,1000,100000065,2024,SA,2024-01-04,2024-01-04,USD,800017
100,1000,100000066,2024,SA,2024-01-04,2024-01-04,USD,800018
100,1000,100000067,2024,KR,2024-01-05,2024-01-05,USD,4500000017
100,2000,100000068,2024,KR,2024-01-05,2024-01-05,USD,4500000018
100,3000,100000069,2024,DR,2024-01-05,2024-01-05,USD,1000033
100,3000,100000070,2024,DR,2024-01-05,2024-01-05,USD,1000034
100,3000,100000071,2024,DR,2024-01-05,2024-01-05,USD,1000035
100,3000,100000072,2024,DR,2024-01-05,2024-01-05,USD,1000036
100,3000,100000073,2024,DR,2024-01-05,2024-01-05,USD,1000037
100,3000,100000074,2024,DR,2024-01-05,2024-01-05,USD,1000038
100,3000,100000075,2024,DR,2024-01-05,2024-01-05,USD,1000039
100,3000,100000076,2024,DR,2024-01-05,2024-01-05,USD,1000040
100,3000,100000077,2024,DR,2024-01-05,2024-01-05,USD,1000041
100,3000,100000078,2024,DR,2024-01-05,2024-01-05,USD,1000042
100,1000,100000079,2024,SA,2024-01-05,2024-01-05,USD,800019
100,1000,100000080,2024,SA,2024-01-05,2024-01-05,USD,800020
100,2000,100000081,2024,KR,2024-01-06,2024-01-06,USD,4500000019
100,1000,100000082,2024,KR,2024-01-06,2024-01-06,USD,4500000020
100,2000,100000083,2024,KR,2024-01-06,2024-01-06,USD,4500000021
100,2000,100000084,2024,KR,2024-01-06,2024-01-06,USD,4500000022
100,1000,100000085,2024,KR,2024-01-06,2024-01-06,USD,4500000023
100,3000,100000086,2024,DR,2024-01-06,2024-01-06,USD,1000043
100,3000,100000087,2024,DR,2024-01-06,2024-01-06,USD,1000044
100,3000,100000088,2024,DR,2024-01-06,2024-01-06,USD,1000045
100,3000,100000089,2024,DR,2024-01-06,2024-01-06,USD,1000046
100,3000,100000090,2024,DR,2024-01-06,2024-01-06,USD,1000047
100,3000,100000091,2024,DR,2024-01-06,2024-01-06,USD,1000048
100,3000,100000092,2024,DR,2024-01-06,2024-01-06,USD,1000049
100,3000,100000093,2024,DR,2024-01-06,2024-01-06,USD,1000050
100,1000,100000094,2024,SA,2024-01-06,2024-01-06,USD,800021
100,1000,100000095,2024,SA,2024-01-06,2024-01-06,USD,800022
100,1000,100000096,2024,SA,2024-01-06,2024-01-06,USD,800023
100,1000,100000097,2024,SA,2024-01-06,2024-01-06,USD,800024
100,1000,100000098,2024,SA,2024-01-06,2024-01-06,USD,800025
100,1000,100000099,2024,SA,2024-01-06,2024-01-06,USD,800026
100,1000,100000100,2024,KR,2024-01-07,2024-01-07,USD,4500000024
100,1000,100000101,2024,KR,2024-01-07,2024-01-07,USD,4500000025
100,2000,100000102,2024,KR,2024-01-07,2024-01-07,USD,4500000026
100,1000,100000103,2024,KR,2024-01-07,2024-01-07,USD,4500000027
100,2000,100000104,2024,KR,2024-01-07,2024-01-07,USD,4500000028
100,1000,100000105,2024,KR,2024-01-07,2024-01-07,USD,4500000029
100,3000,100000106,2024,DR,2024-01-07,2024-01-07,USD,1000051
100,3000,100000107,2024,DR,2024-01-07,2024-01-07,USD,1000052
100,3000,100000108,2024,DR,2024-01-07,2024-01-07,USD,1000053
100,3000,100000109,2024,DR,2024-01-07,2024-01-07,USD,1000054
100,3000,100000110,2024,DR,2024-01-07,2024-01-07,USD,1000055
100,1000,100000111,2024,SA,2024-01-07,2024-01-07,USD,800027
100,1000,100000112,2024,SA,2024-01-07,2024-01-07,USD,800028
100,1000,100000113,2024,SA,2024-01-07,2024-01-07,USD,800029
100,2000,100000114,2024,KR,2024-01-08,2024-01-08,USD,4500000030
100,1000,100000115,2024,KR,2024-01-08,2024-01-08,USD,4500000031
100,1000,100000116,2024,KR,2024-01-08,2024-01-08,USD,4500000032
