MANDT,BUKRS,BELNR,GJAHR,BUZEI,BSCHL,HKONT,DMBTR,KOSTL
100,1000,100000001,2024,1,40,400000,39939.39,MIN200
100,1000,100000001,2024,2,31,50140,39939.39,
100,2000,100000002,2024,1,40,400000,3143.0,REF100
100,2000,100000002,2024,2,31,50016,3143.0,
100,3000,100000003,2024,1,50,800000,878196.02,
100,3000,100000003,2024,2,01,10012,878196.02,
100,3000,100000004,2024,1,50,800000,592198.29,
100,3000,100000004,2024,2,01,10021,592198.29,
100,3000,100000005,2024,1,50,800000,1144936.74,
100,3000,100000005,2024,2,01,10006,1144936.74,
100,3000,100000006,2024,1,50,800000,474104.34,
100,3000,100000006,2024,2,01,10024,474104.34,
100,3000,100000007,2024,1,50,800000,740525.99,
100,3000,100000007,2024,2,01,10039,740525.99,
100,3000,100000008,2024,1,50,800000,415608.52,
100,3000,100000008,2024,2,01,10005,415608.52,
100,3000,100000009,2024,1,50,800000,645871.44,
100,3000,100000009,2024,2,01,10040,645871.44,
100,3000,100000010,2024,1,50,800000,514907.77999999997,
100,3000,100000010,2024,2,01,10010,514907.77999999997,
100,3000,100000011,2024,1,50,800000,159737.12999999998,
100,3000,100000011,2024,2,01,10040,159737.12999999998,
100,1000,100000012,2024,1,50,410000,901.61,
100,1000,100000012,2024,2,01,INTERNAL,901.61,
100,1000,100000013,2024,1,50,410000,1869.7,
100,1000,100000013,2024,2,01,INTERNAL,1869.7,
100,2000,100000014,2024,1,40,400000,47570.07,LOG100
100,2000,100000014,2024,2,31,50108,47570.07,
100,2000,100000015,2024,1,40,400000,5098.8,REF300
100,2000,100000015,2024,2,31,50112,5098.8,
100,2000,100000016,2024,1,40,400000,91762.13999999998,LAB300
100,2000,100000016,2024,2,31,50032,91762.13999999998,
100,1000,100000017,2024,1,40,400000,33449.82,PLAN300
100,1000,100000017,2024,2,31,50150,33449.82,
100,1000,100000018,2024,1,40,400000,38866.86,MIN200
100,1000,100000018,2024,2,31,50078,38866.86,
100,2000,100000019,2024,1,40,400000,14929.74,REF200
100,2000,100000019,2024,2,31,50157,14929.74,
100,3000,100000020,2024,1,50,800000,702991.2,
100,3000,100000020,2024,2,01,10049,702991.2,
100,3000,100000021,2024,1,50,800000,1363051.69,
100,3000,100000021,2024,2,01,10010,1363051.69,
100,3000,100000022,2024,1,50,800000,637622.6,
100,3000,100000022,2024,2,01,10044,637622.6,
100,3000,100000023,2024,1,50,800000,837603.64,
100,3000,100000023,2024,2,01,10041,837603.64,
100,3000,100000024,2024,1,50,800000,241380.48,
100,3000,100000024,2024,2,01,10001,241380.48,
100,3000,100000025,2024,1,50,800000,241407.04,
100,3000,100000025,2024,2,01,10045,241407.04,
100,3000,100000026,2024,1,50,800000,305695.5,
100,3000,100000026,2024,2,01,10021,305695.5,
100,3000,100000027,2024,1,50,800000,284162.76,
100,3000,100000027,2024,2,01,10031,284162.76,
100,3000,100000028,2024,1,50,800000,830806.24,
100,3000,100000028,2024,2,01,10036,830806.24,
100,1000,100000029,2024,1,50,410000,1200.54,
100,1000,100000029,2024,2,01,INTERNAL,1200.54,
100,1000,100000030,2024,1,50,410000,581.26,
100,1000,100000030,2024,2,01,INTERNAL,581.26,
100,1000,100000031,2024,1,50,410000,1976.25,
100,1000,100000031,2024,2,01,INTERNAL,1976.25,
100,1000,100000032,2024,1,50,410000,590.92,
100,1000,100000032,2024,2,01,INTERNAL,590.92,
100,1000,100000033,2024,1,50,410000,1008.95,
100,1000,100000033,2024,2,01,INTERNAL,1008.95,
100,1000,100000034,2024,1,40,400000,11644.52,MIN200
100,1000,100000034,2024,2,31,50098,11644.52,
100,2000,100000035,2024,1,40,400000,33577.32,REF100
100,2000,100000035,2024,2,31,50281,33577.32,
100,3000,100000036,2024,1,50,800000,499864.32,
100,3000,100000036,2024,2,01,10048,499864.32,
100,3000,100000037,2024,1,50,800000,728573.2,
100,3000,100000037,2024,2,01,10013,728573.2,
100,3000,100000038,2024,1,50,800000,920545.6,
100,3000,100000038,2024,2,01,10029,920545.6,
100,3000,100000039,2024,1,50,800000,466700.87,
100,3000,100000039,2024,2,01,10013,466700.87,
100,3000,100000040,2024,1,50,800000,649272.1,
100,3000,100000040,2024,2,01,10020,649272.1,
100,1000,100000041,2024,1,50,410000,27026.85,
100,1000,100000041,2024,2,01,INTERNAL,27026.85,
100,1000,100000042,2024,1,50,410000,1392.55,
100,1000,100000042,2024,2,01,INTERNAL,1392.55,
100,1000,100000043,2024,1,50,410000,1792.73,
100,1000,100000043,2024,2,01,INTERNAL,1792.73,
100,1000,100000044,2024,1,50,410000,679.83,
