MANDT,KOKRS,BELNR,GJAHR,BUDAT
100,1000,300001,2024,2024-01-01
100,1000,300002,2024,2024-01-01
100,1000,300003,2024,2024-01-01
100,1000,300004,2024,2024-01-01
100,1000,300005,2024,2024-01-02
100,1000,300006,2024,2024-01-02
100,1000,300007,2024,2024-01-02
100,1000,300008,2024,2024-01-02
100,1000,300009,2024,2024-01-02
100,1000,300010,2024,2024-01-02
100,1000,300011,2024,2024-01-02
100,1000,300012,2024,2024-01-02
100,1000,300013,2024,2024-01-02
100,1000,300014,2024,2024-01-02
100,1000,300015,2024,2024-01-02
100,1000,300016,2024,2024-01-03
100,1000,300017,2024,2024-01-03
100,1000,300018,2024,2024-01-03
100,1000,300019,2024,2024-01-03
100,1000,300020,2024,2024-01-03
100,1000,300021,2024,2024-01-03
100,1000,300022,2024,2024-01-03
100,1000,300023,2024,2024-01-03
100,1000,300024,2024,2024-01-03
100,1000,300025,2024,2024-01-04
100,1000,300026,2024,2024-01-04
100,1000,300027,2024,2024-01-04
100,1000,300028,2024,2024-01-04
100,1000,300029,2024,2024-01-04
100,1000,300030,2024,2024-01-04
100,1000,300031,2024,2024-01-04
100,1000,300032,2024,2024-01-04
100,1000,300033,2024,2024-01-04
100,1000,300034,2024,2024-01-04
100,1000,300035,2024,2024-01-05
100,1000,300036,2024,2024-01-05
100,1000,300037,2024,2024-01-05
100,1000,300038,2024,2024-01-05
100,1000,300039,2024,2024-01-06
100,1000,300040,2024,2024-01-06
100,1000,300041,2024,2024-01-06
100,1000,300042,2024,2024-01-06
100,1000,300043,2024,2024-01-06
100,1000,300044,2024,2024-01-06
100,1000,300045,2024,2024-01-06
100,1000,300046,2024,2024-01-06
100,1000,300047,2024,2024-01-06
100,1000,300048,2024,2024-01-06
100,1000,300049,2024,2024-01-06
100,1000,300050,2024,2024-01-07
100,1000,300051,2024,2024-01-07
100,1000,300052,2024,2024-01-07
100,1000,300053,2024,2024-01-07
100,1000,300054,2024,2024-01-07
100,1000,300055,2024,2024-01-07
100,1000,300056,2024,2024-01-07
100,1000,300057,2024,2024-01-07
100,1000,300058,2024,2024-01-07
100,1000,300059,2024,2024-01-08
100,1000,300060,2024,2024-01-08
100,1000,300061,2024,2024-01-08
100,1000,300062,2024,2024-01-08
100,1000,300063,2024,2024-01-08
100,1000,300064,2024,2024-01-08
100,1000,300065,2024,2024-01-08
100,1000,300066,2024,2024-01-08
100,1000,300067,2024,2024-01-08
100,1000,300068,2024,2024-01-09
100,1000,300069,2024,2024-01-09
100,1000,300070,2024,2024-01-09
100,1000,300071,2024,2024-01-09
100,1000,300072,2024,2024-01-09
100,1000,300073,2024,2024-01-09
100,1000,300074,2024,2024-01-09
100,1000,300075,2024,2024-01-09
100,1000,300076,2024,2024-01-09
100,1000,300077,2024,2024-01-10
100,1000,300078,2024,2024-01-10
100,1000,300079,2024,2024-01-10
100,1000,300080,2024,2024-01-10
100,1000,300081,2024,2024-01-10
100,1000,300082,2024,2024-01-10
100,1000,300083,2024,2024-01-11
100,1000,300084,2024,2024-01-11
100,1000,300085,2024,2024-01-11
100,1000,300086,2024,2024-01-11
100,1000,300087,2024,2024-01-11
100,1000,300088,2024,2024-01-11
100,1000,300089,2024,2024-01-12
100,1000,300090,2024,2024-01-12
100,1000,300091,2024,2024-01-12
100,1000,300092,2024,2024-01-12
100,1000,300093,2024,2024-01-12
100,1000,300094,2024,2024-01-12
100,1000,300095,2024,2024-01-12
100,1000,300096,2024,2024-01-12
100,1000,300097,2024,2024-01-12
100,1000,300098,2024,2024-01-13
100,1000,300099,2024,2024-01-13
100,1000,300100,2024,2024-01-13
100,1000,300101,2024,2024-01-13
100,1000,300102,2024,2024-01-13
100,1000,300103,2024,2024-01-13
100,1000,300104,2024,2024-01-13
100,1000,300105,2024,2024-01-13
100,1000,300106,2024,2024-01-13
100,1000,300107,2024,2024-01-13
100,1000,300108,2024,2024-01-13
100,1000,300109,2024,2024-01-13
100,1000,300110,2024,2024-01-14
100,1000,300111,2024,2024-01-14
100,1000,300112,2024,2024-01-14
100,1000,300113,2024,2024-01-14
100,1000,300114,2024,2024-01-14
100,1000,300115,2024,2024-01-14
100,1000,300116,2024,2024-01-14
100,1000,300117,2024,2024-01-14
100,1000,300118,2024,2024-01-14
100,1000,300119,2024,2024-01-15
100,1000,300120,2024,2024-01-15
100,1000,300121,2024,2024-01-15
100,1000,300122,2024,2024-01-15
100,1000,300123,2024,2024-01-15
100,1000,300124,2024,2024-01-15
100,1000,300125,2024,2024-01-16
