MANDT,KOKRS,BELNR,BUZEI,KSTAR,KOSTL,WTGBTR,REFBN
100,1000,300001,1,400000,MIN200,39939.39,100000001
100,1000,300002,1,400000,REF100,3143.0,100000002
100,1000,300003,1,400000,MANT100,901.61,100000012
100,1000,300004,1,400000,MANT100,1869.7,100000013
100,1000,300005,1,400000,LOG100,47570.07,100000014
100,1000,300006,1,400000,REF300,5098.8,100000015
100,1000,300007,1,400000,LAB300,91762.13999999998,100000016
100,1000,300008,1,400000,PLAN300,33449.82,100000017
100,1000,300009,1,400000,MIN200,38866.86,100000018
100,1000,300010,1,400000,REF200,14929.74,100000019
100,1000,300011,1,400000,MANT100,1200.54,100000029
100,1000,300012,1,400000,MANT100,581.26,100000030
100,1000,300013,1,400000,MANT100,1976.25,100000031
100,1000,300014,1,400000,MANT100,590.92,100000032
100,1000,300015,1,400000,MANT100,1008.95,100000033
100,1000,300016,1,400000,MIN200,11644.52,100000034
100,1000,300017,1,400000,REF100,33577.32,100000035
100,1000,300018,1,400000,MANT100,27026.85,100000041
100,1000,300019,1,400000,MANT100,1392.55,100000042
100,1000,300020,1,400000,MANT100,1792.73,100000043
100,1000,300021,1,400000,MANT100,679.83,100000044
100,1000,300022,1,400000,MANT100,869.32,100000045
100,1000,300023,1,400000,MANT100,559.61,100000046
100,1000,300024,1,400000,MANT100,1128.84,100000047
100,1000,300025,1,400000,LAB200,16991.6,100000048
100,1000,300026,1,400000,REF200,15476.1,100000049
100,1000,300027,1,400000,MANT300,6086.030000000001,100000050
100,1000,300028,1,400000,REF200,31848.07,100000051
100,1000,300029,1,400000,MIN100,45106.06,100000052
100,1000,300030,1,400000,PLAN100,50785.259999999995,100000053
100,1000,300031,1,400000,MANT100,918.69,100000063
100,1000,300032,1,400000,MANT100,1264.11,100000064
100,1000,300033,1,400000,MANT100,1971.72,100000065
100,1000,300034,1,400000,MANT100,996.72,100000066
100,1000,300035,1,400000,MANT300,9997.289999999999,100000067
100,1000,300036,1,400000,REF100,7124.72,100000068
100,1000,300037,1,400000,MANT100,1363.51,100000079
100,1000,300038,1,400000,MANT100,1544.53,100000080
100,1000,300039,1,400000,LOG100,38142.2,100000081
100,1000,300040,1,400000,PLAN200,43538.28,100000082
100,1000,300041,1,400000,LAB200,71729.27,100000083
100,1000,300042,1,400000,LAB100,20618.2,100000084
100,1000,300043,1,400000,PLAN100,49213.88,100000085
100,1000,300044,1,400000,MANT100,29998.16,100000094
100,1000,300045,1,400000,MANT100,836.33,100000095
100,1000,300046,1,400000,MANT100,1671.85,100000096
100,1000,300047,1,400000,MANT100,560.39,100000097
100,1000,300048,1,400000,MANT100,1924.42,100000098
100,1000,300049,1,400000,MANT100,1758.84,100000099
100,1000,300050,1,400000,MANT300,23076.97,100000100
100,1000,300051,1,400000,PLAN100,24034.44,100000101
100,1000,300052,1,400000,LAB100,30281.85,100000102
100,1000,300053,1,400000,PLAN100,931.1999999999999,100000103
100,1000,300054,1,400000,LOG100,56993.170000000006,100000104
100,1000,300055,1,400000,MANT100,46075.84,100000105
100,1000,300056,1,400000,MANT100,23835.74,100000111
100,1000,300057,1,400000,MANT100,1495.94,100000112
100,1000,300058,1,400000,MANT100,1209.89,100000113
100,1000,300059,1,400000,LOG300,25079.83,100000114
100,1000,300060,1,400000,MANT200,29708.99,100000115
100,1000,300061,1,400000,PLAN300,27499.680000000004,100000116
100,1000,300062,1,400000,LOG100,18561.56,100000117
100,1000,300063,1,400000,LAB200,6583.6,100000118
100,1000,300064,1,400000,MANT100,17744.37,100000119
100,1000,300065,1,400000,MANT100,29991.45,100000129
100,1000,300066,1,400000,MANT100,1732.13,100000130
100,1000,300067,1,400000,MANT100,560.35,100000131
100,1000,300068,1,400000,REF300,57905.06999999999,100000132
100,1000,300069,1,400000,LOG300,58105.22,100000133
100,1000,300070,1,400000,MANT200,51750.05,100000134
100,1000,300071,1,400000,MANT100,17721.58,100000143
100,1000,300072,1,400000,MANT100,1688.59,100000144
100,1000,300073,1,400000,MANT100,1971.23,100000145
100,1000,300074,1,400000,MANT100,1947.24,100000146
100,1000,300075,1,400000,MANT100,1253.44,100000147
100,1000,300076,1,400000,MANT100,997.99,100000148
100,1000,300077,1,400000,LAB300,24506.6,100000149
100,1000,300078,1,400000,REF200,38127.58,100000150
100,1000,300079,1,400000,MANT100,532.91,100000159
100,1000,300080,1,400000,MANT100,1093.71,100000160
100,1000,300081,1,400000,MANT100,1348.89,100000161
100,1000,300082,1,400000,MANT100,1667.47,100000162
100,1000,300083,1,400000,REF300,14446.55,100000163
100,1000,300084,1,400000,MIN300,15335.25,100000164
100,1000,300085,1,400000,MANT100,709.67,100000171
100,1000,300086,1,400000,MANT100,956.55,100000172
100,1000,300087,1,400000,MANT100,674.18,100000173
100,1000,300088,1,400000,MANT100,1830.89,100000174
100,1000,300089,1,400000,REF200,47857.65,100000175
100,1000,300090,1,400000,LAB300,42380.08,100000176
100,1000,300091,1,400000,LAB100,36345.22000000001,100000177
100,1000,300092,1,400000,MANT100,1255.76,100000184
100,1000,300093,1,400000,MANT100,565.05,100000185
100,1000,300094,1,400000,MANT100,1282.18,100000186
100,1000,300095,1,400000,MANT100,1465.01,100000187
100,1000,300096,1,400000,MANT100,591.24,100000188
100,1000,300097,1,400000,MANT100,1770.95,100000189
100,1000,300098,1,400000,PLAN300,29571.78,100000190
100,1000,300099,1,400000,LOG100,89483.88,100000191
100,1000,300100,1,400000,REF200,23470.3,100000192
100,1000,300101,1,400000,MIN300,15815.52,100000193
100,1000,300102,1,400000,MANT200,23962.88,100000194
100,1000,300103,1,400000,MANT100,18862.26,100000202
100,1000,300104,1,400000,MANT100,1228.49,100000203
100,1000,300105,1,400000,MANT100,1121.28,100000204
100,1000,300106,1,400000,MANT100,1632.41,100000205
100,1000,300107,1,400000,MANT100,1017.76,100000206
100,1000,300108,1,400000,MANT100,924.87,100000207
100,1000,300109,1,400000,MANT100,1389.7,100000208
100,1000,300110,1,400000,REF300,18732.309999999998,100000209
100,1000,300111,1,400000,LOG300,12424.4,100000210
100,1000,300112,1,400000,REF200,32949.85,100000211
100,1000,300113,1,400000,LOG100,24617.359999999997,100000212
100,1000,300114,1,400000,MANT100,9519.64,100000213
100,1000,300115,1,400000,REF200,7140.410000000001,100000214
100,1000,300116,1,400000,MANT100,655.25,100000221
100,1000,300117,1,400000,MANT100,1973.58,100000222
100,1000,300118,1,400000,MANT100,1256.82,100000223
100,1000,300119,1,400000,MANT300,53785.94,100000224
100,1000,300120,1,400000,MANT200,14956.480000000001,100000225
100,1000,300121,1,400000,MANT300,6711.009999999999,100000226
100,1000,300122,1,400000,MANT100,927.39,100000234
100,1000,300123,1,400000,MANT100,1675.7,100000235
100,1000,300124,1,400000,MANT100,1301.02,100000236
100,1000,300125,1,400000,REF300,56939.18000000001,100000237
100,1000,300126,1,400000,MANT200,67668.98000000001,100000238
100,1000,300127,1,400000,MIN100,30546.32,100000239
100,1000,300128,1,400000,REF300,29599.059999999998,100000240
100,1000,300129,1,400000,MANT100,1124.85,100000246
100,1000,300130,1,400000,MANT100,1502.32,100000247
100,1000,300131,1,400000,MANT100,1961.98,100000248
100,1000,300132,1,400000,MANT100,1930.11,100000249
100,1000,300133,1,400000,MANT100,1260.99,100000250
100,1000,300134,1,400000,MANT100,1331.23,100000251
100,1000,300135,1,400000,LAB300,57185.32,100000252
100,1000,300136,1,400000,MIN300,58936.16,100000253
100,1000,300137,1,400000,MANT100,1077.05,100000254
