MANDT,EBELN,BUKRS,BSTYP,BSART,LIFNR,AEDAT,WAERS
100,4500000001,1000,F,NB,50140,2024-01-01,USD
100,4500000002,2000,F,NB,50016,2024-01-01,USD
100,4500000003,2000,F,NB,50108,2024-01-02,USD
100,4500000004,2000,F,NB,50112,2024-01-02,USD
100,4500000005,2000,F,NB,50032,2024-01-02,USD
100,4500000006,1000,F,NB,50150,2024-01-02,USD
100,4500000007,1000,F,NB,50078,2024-01-02,USD
100,4500000008,2000,F,NB,50157,2024-01-02,USD
100,4500000009,1000,F,NB,50098,2024-01-03,USD
100,4500000010,2000,F,NB,50281,2024-01-03,USD
100,4500000011,2000,F,NB,50133,2024-01-04,USD
100,4500000012,2000,F,NB,50161,2024-01-04,USD
100,4500000013,1000,F,NB,50275,2024-01-04,USD
100,4500000014,2000,F,NB,50080,2024-01-04,USD
100,4500000015,1000,F,NB,50139,2024-01-04,USD
100,4500000016,1000,F,NB,50216,2024-01-04,USD
100,4500000017,1000,F,NB,50133,2024-01-05,USD
100,4500000018,2000,F,NB,50261,2024-01-05,USD
100,4500000019,2000,F,NB,50124,2024-01-06,USD
100,4500000020,1000,F,NB,50090,2024-01-06,USD
100,4500000021,2000,F,NB,50280,2024-01-06,USD
100,4500000022,2000,F,NB,50039,2024-01-06,USD
100,4500000023,1000,F,NB,50212,2024-01-06,USD
100,4500000024,1000,F,NB,50122,2024-01-07,USD
100,4500000025,1000,F,NB,50058,2024-01-07,USD
100,4500000026,2000,F,NB,50101,2024-01-07,USD
100,4500000027,1000,F,NB,50154,2024-01-07,USD
100,4500000028,2000,F,NB,50035,2024-01-07,USD
100,4500000029,1000,F,NB,50267,2024-01-07,USD
100,4500000030,2000,F,NB,50217,2024-01-08,USD
100,4500000031,1000,F,NB,50098,2024-01-08,USD
100,4500000032,1000,F,NB,50099,2024-01-08,USD
100,4500000033,2000,F,NB,50064,2024-01-08,USD
100,4500000034,2000,F,NB,50037,2024-01-08,USD
100,4500000035,1000,F,NB,50127,2024-01-08,USD
100,4500000036,2000,F,NB,50265,2024-01-09,USD
100,4500000037,2000,F,NB,50210,2024-01-09,USD
100,4500000038,1000,F,NB,50277,2024-01-09,USD
100,4500000039,2000,F,NB,50051,2024-01-10,USD
100,4500000040,2000,F,NB,50162,2024-01-10,USD
100,4500000041,2000,F,NB,50146,2024-01-11,USD
100,4500000042,1000,F,NB,50020,2024-01-11,USD
100,4500000043,2000,F,NB,50232,2024-01-12,USD
100,4500000044,2000,F,NB,50208,2024-01-12,USD
100,4500000045,2000,F,NB,50031,2024-01-12,USD
100,4500000046,1000,F,NB,50251,2024-01-13,USD
100,4500000047,2000,F,NB,50232,2024-01-13,USD
100,4500000048,2000,F,NB,50232,2024-01-13,USD
100,4500000049,1000,F,NB,50221,2024-01-13,USD
100,4500000050,1000,F,NB,50287,2024-01-13,USD
100,4500000051,2000,F,NB,50023,2024-01-14,USD
100,4500000052,2000,F,NB,50148,2024-01-14,USD
100,4500000053,2000,F,NB,50036,2024-01-14,USD
100,4500000054,2000,F,NB,50010,2024-01-14,USD
100,4500000055,1000,F,NB,50202,2024-01-14,USD
100,4500000056,2000,F,NB,50179,2024-01-14,USD
100,4500000057,1000,F,NB,50126,2024-01-15,USD
100,4500000058,1000,F,NB,50168,2024-01-15,USD
