MANDT,EBELN,EBELP,MATNR,WERKS,MENGE,NETPR,BRTWR
100,4500000001,10,10114,1000,9,602.35,5421.150000000001
100,4500000001,20,80046,1000,48,719.13,34518.24
100,4500000002,10,10047,2000,14,224.5,3143.0
100,4500000003,10,10202,2000,42,394.14,16553.88
100,4500000003,20,10135,2000,9,234.97,2114.73
100,4500000003,30,10287,2000,35,247.06,8647.1
100,4500000003,40,10299,2000,28,723.37,20254.36
100,4500000004,10,10260,2000,32,118.18,3781.76
100,4500000004,20,10024,2000,8,164.63,1317.04
100,4500000005,10,10195,2000,39,797.09,31086.510000000002
100,4500000005,20,10270,2000,17,778.31,13231.269999999999
100,4500000005,30,10005,2000,44,590.54,25983.76
100,4500000005,40,80049,2000,35,613.16,21460.6
100,4500000006,10,10080,1000,30,52.43,1572.9
100,4500000006,20,30019,1000,47,247.54,11634.38
100,4500000006,30,10256,1000,49,183.99,9015.51
100,4500000006,40,10054,1000,41,273.83,11227.029999999999
100,4500000007,10,30040,1000,11,454.53,4999.83
100,4500000007,20,30048,1000,34,738.87,25121.58
100,4500000007,30,80006,1000,21,416.45,8745.449999999999
100,4500000008,10,10029,2000,16,708.51,11336.16
100,4500000008,20,10040,2000,6,598.93,3593.58
100,4500000009,10,10274,1000,29,155.14,4499.0599999999995
100,4500000009,20,10093,1000,18,396.97,7145.460000000001
100,4500000010,10,10025,2000,42,799.46,33577.32
100,4500000011,10,80042,2000,46,285.64,13139.439999999999
100,4500000011,20,10135,2000,26,148.16,3852.16
100,4500000012,10,10004,2000,30,515.87,15476.1
100,4500000013,10,10259,1000,17,149.34,2538.78
100,4500000013,20,10178,1000,5,709.45,3547.25
100,4500000014,10,10278,2000,46,276.89,12736.939999999999
100,4500000014,20,80034,2000,34,55.87,1899.58
100,4500000014,30,10283,2000,20,748.82,14976.400000000001
100,4500000014,40,10053,2000,9,248.35,2235.15
100,4500000015,10,80009,1000,14,588.21,8234.94
100,4500000015,20,10104,1000,44,525.68,23129.92
