MANDT,VBELN,ERDAT,AUART,VKORG,VTWEG,KUNNR,WAERS
100,1000001,2024-01-01,TA,3000,10,10012,USD
100,1000002,2024-01-01,TA,3000,10,10021,USD
100,1000003,2024-01-01,TA,3000,10,10006,USD
100,1000004,2024-01-01,TA,3000,10,10024,USD
100,1000005,2024-01-01,TA,3000,10,10039,USD
100,1000006,2024-01-01,TA,3000,10,10005,USD
100,1000007,2024-01-01,TA,3000,10,10040,USD
100,1000008,2024-01-01,TA,3000,10,10010,USD
100,1000009,2024-01-01,TA,3000,10,10040,USD
100,1000010,2024-01-02,TA,3000,10,10049,USD
100,1000011,2024-01-02,TA,3000,10,10010,USD
100,1000012,2024-01-02,TA,3000,10,10044,USD
100,1000013,2024-01-02,TA,3000,10,10041,USD
100,1000014,2024-01-02,TA,3000,10,10001,USD
100,1000015,2024-01-02,TA,3000,10,10045,USD
100,1000016,2024-01-02,TA,3000,10,10021,USD
100,1000017,2024-01-02,TA,3000,10,10031,USD
100,1000018,2024-01-02,TA,3000,10,10036,USD
100,1000019,2024-01-03,TA,3000,10,10048,USD
100,1000020,2024-01-03,TA,3000,10,10013,USD
100,1000021,2024-01-03,TA,3000,10,10029,USD
100,1000022,2024-01-03,TA,3000,10,10013,USD
100,1000023,2024-01-03,TA,3000,10,10020,USD
100,1000024,2024-01-04,TA,3000,10,10000,USD
100,1000025,2024-01-04,TA,3000,10,10023,USD
100,1000026,2024-01-04,TA,3000,10,10023,USD
100,1000027,2024-01-04,TA,3000,10,10042,USD
100,1000028,2024-01-04,TA,3000,10,10026,USD
100,1000029,2024-01-04,TA,3000,10,10011,USD
100,1000030,2024-01-04,TA,3000,10,10047,USD
100,1000031,2024-01-04,TA,3000,10,10006,USD
100,1000032,2024-01-04,TA,3000,10,10014,USD
100,1000033,2024-01-05,TA,3000,10,10027,USD
100,1000034,2024-01-05,TA,3000,10,10047,USD
100,1000035,2024-01-05,TA,3000,10,10042,USD
100,1000036,2024-01-05,TA,3000,10,10042,USD
100,1000037,2024-01-05,TA,3000,10,10042,USD
100,1000038,2024-01-05,TA,3000,10,10019,USD
100,1000039,2024-01-05,TA,3000,10,10028,USD
100,1000040,2024-01-05,TA,3000,10,10047,USD
100,1000041,2024-01-05,TA,3000,10,10040,USD
100,1000042,2024-01-05,TA,3000,10,10002,USD
100,1000043,2024-01-06,TA,3000,10,10000,USD
100,1000044,2024-01-06,TA,3000,10,10034,USD
100,1000045,2024-01-06,TA,3000,10,10031,USD
100,1000046,2024-01-06,TA,3000,10,10025,USD
100,1000047,2024-01-06,TA,3000,10,10034,USD
100,1000048,2024-01-06,TA,3000,10,10001,USD
100,1000049,2024-01-06,TA,3000,10,10011,USD
100,1000050,2024-01-06,TA,3000,10,10029,USD
100,1000051,2024-01-07,TA,3000,10,10017,USD
100,1000052,2024-01-07,TA,3000,10,10020,USD
100,1000053,2024-01-07,TA,3000,10,10016,USD
100,1000054,2024-01-07,TA,3000,10,10012,USD
100,1000055,2024-01-07,TA,3000,10,10048,USD
100,1000056,2024-01-08,TA,3000,10,10024,USD
100,1000057,2024-01-08,TA,3000,10,10003,USD
100,1000058,2024-01-08,TA,3000,10,10042,USD
100,1000059,2024-01-08,TA,3000,10,10004,USD
100,1000060,2024-01-08,TA,3000,10,10038,USD
100,1000061,2024-01-08,TA,3000,10,10014,USD
100,1000062,2024-01-08,TA,3000,10,10017,USD
100,1000063,2024-01-08,TA,3000,10,10019,USD
100,1000064,2024-01-08,TA,3000,10,10032,USD
