MANDT,VBELN,POSNR,MATNR,ARKTX,KWMENG,NETWR
100,1000001,10,50003,Concentrado Cu,77,566493.62
100,1000001,20,50000,Concentrado Cu,40,311702.4
100,1000002,10,50002,Concentrado Cu,47,414955.95
100,1000002,20,50005,Concentrado Cu,33,177242.34
100,1000003,10,50005,Concentrado Cu,97,587633.76
100,1000003,20,50000,Concentrado Cu,78,557302.98
100,1000004,10,50008,Concentrado Cu,57,474104.34
100,1000005,10,50009,Concentrado Cu,44,344004.76
100,1000005,20,50000,Concentrado Cu,49,396521.23000000004
100,1000006,10,50001,Concentrado Cu,68,415608.52
100,1000007,10,50002,Concentrado Cu,67,430212.36
100,1000007,20,50004,Concentrado Cu,29,215659.08000000002
100,1000008,10,50002,Concentrado Cu,79,514907.77999999997
100,1000009,10,50005,Concentrado Cu,27,159737.12999999998
100,1000010,10,50002,Concentrado Cu,80,702991.2
100,1000011,10,50008,Concentrado Cu,97,649177.35
100,1000011,20,50003,Concentrado Cu,89,713874.3400000001
100,1000012,10,50004,Concentrado Cu,71,637622.6
100,1000013,10,50007,Concentrado Cu,86,585310.84
100,1000013,20,50003,Concentrado Cu,48,252292.80000000002
100,1000014,10,50009,Concentrado Cu,48,241380.48
100,1000015,10,50003,Concentrado Cu,28,241407.04
100,1000016,10,50008,Concentrado Cu,50,305695.5
100,1000017,10,50008,Concentrado Cu,36,284162.76
100,1000018,10,50003,Concentrado Cu,80,658399.2
100,1000018,20,50003,Concentrado Cu,32,172407.04
100,1000019,10,50002,Concentrado Cu,72,499864.32
100,1000020,10,50000,Concentrado Cu,41,267151.49
100,1000020,20,50006,Concentrado Cu,53,461421.70999999996
100,1000021,10,50006,Concentrado Cu,91,695921.59
100,1000021,20,50007,Concentrado Cu,39,224624.01
100,1000022,10,50009,Concentrado Cu,89,466700.87
100,1000023,10,50000,Concentrado Cu,94,649272.1
100,1000024,10,50001,Concentrado Cu,39,280112.04
100,1000025,10,50006,Concentrado Cu,36,186023.52
100,1000026,10,50005,Concentrado Cu,46,355500.42000000004
100,1000027,10,50005,Concentrado Cu,91,776825.1400000001
100,1000028,10,50003,Concentrado Cu,40,356192.8
100,1000029,10,50000,Concentrado Cu,42,333742.92
100,1000029,20,50005,Concentrado Cu,72,591043.68
100,1000030,10,50004,Concentrado Cu,40,325980.0
100,1000031,10,50000,Concentrado Cu,80,471178.39999999997
