MANDT,BUKRS,BELNR,GJAHR,BLART,BLDAT,BUDAT,MONAT,CPUDT,CPUTM,USNAM,TCODE,XBLNR,WAERS,KURSF,BSTAT,STBLG,AWTYP,AWKEY,AEDAT,BKTXT
100,1000,0100000001,2024,KR,20240101,20240101,01,20240101,141801,FI_AUTO,MIRO,4500000001,USD,1.0,,,RMRP,4500000001,20240101,
100,1000,0100000002,2024,KR,20240102,20240102,01,20240102,163029,FI_AUTO,MIRO,4500000002,USD,1.0,,,RMRP,4500000002,20240102,
100,1000,0100000003,2024,KR,20240103,20240103,01,20240103,174455,FI_AUTO,MIRO,4500000003,USD,1.0,,,RMRP,4500000003,20240103,
100,2000,0100000004,2024,KR,20240104,20240104,01,20240104,160747,FI_AUTO,MIRO,4500000004,USD,1.0,,,RMRP,4500000004,20240104,
100,2000,0100000005,2024,KR,20240105,20240105,01,20240105,135606,FI_AUTO,MIRO,4500000005,USD,1.0,,,RMRP,4500000005,20240105,
100,2000,0100000006,2024,KR,20240106,20240106,01,20240106,152231,FI_AUTO,MIRO,4500000006,USD,1.0,,,RMRP,4500000006,20240106,
100,2000,0100000007,2024,KR,20240107,20240107,01,20240107,181922,FI_AUTO,MIRO,4500000007,USD,1.0,,,RMRP,4500000007,20240107,
100,1000,0100000008,2024,KR,20240108,20240108,01,20240108,123707,FI_AUTO,MIRO,4500000008,USD,1.0,,,RMRP,4500000008,20240108,
100,2000,0100000009,2024,KR,20240109,20240109,01,20240109,135127,FI_AUTO,MIRO,4500000009,USD,1.0,,,RMRP,4500000009,20240109,
100,2000,0100000010,2024,KR,20240110,20240110,01,20240110,161915,FI_AUTO,MIRO,4500000010,USD,1.0,,,RMRP,4500000010,20240110,
100,1000,0100000011,2024,KR,20240111,20240111,01,20240111,162047,FI_AUTO,MIRO,4500000011,USD,1.0,,,RMRP,4500000011,20240111,
100,2000,0100000012,2024,KR,20240112,20240112,01,20240112,123820,FI_AUTO,MIRO,4500000012,USD,1.0,,,RMRP,4500000012,20240112,
100,2000,0100000013,2024,KR,20240113,20240113,01,20240113,151036,FI_AUTO,MIRO,4500000013,USD,1.0,,,RMRP,4500000013,20240113,
100,2000,0100000014,2024,KR,20240114,20240114,01,20240114,121410,FI_AUTO,MIRO,4500000014,USD,1.0,,,RMRP,4500000014,20240114,
100,2000,0100000015,2024,KR,20240115,20240115,01,20240115,081614,FI_AUTO,MIRO,4500000015,USD,1.0,,,RMRP,4500000015,20240115,
100,2000,0100000016,2024,KR,20240116,20240116,01,20240116,094355,FI_AUTO,MIRO,4500000016,USD,1.0,,,RMRP,4500000016,20240116,
100,1000,0100000017,2024,KR,20240117,20240117,01,20240117,160220,FI_AUTO,MIRO,4500000017,USD,1.0,,,RMRP,4500000017,20240117,
100,1000,0100000018,2024,KR,20240118,20240118,01,20240118,114351,FI_AUTO,MIRO,4500000018,USD,1.0,,,RMRP,4500000018,20240118,
100,1000,0100000019,2024,KR,20240119,20240119,01,20240119,100443,FI_AUTO,MIRO,4500000019,USD,1.0,,,RMRP,4500000019,20240119,
100,1000,0100000020,2024,KR,20240120,20240120,01,20240120,065728,FI_AUTO,MIRO,4500000020,USD,1.0,,,RMRP,4500000020,20240120,
100,1000,0100000021,2024,KR,20240121,20240121,01,20240121,090936,FI_AUTO,MIRO,4500000021,USD,1.0,,,RMRP,4500000021,20240121,
100,2000,0100000022,2024,KR,20240122,20240122,01,20240122,184435,FI_AUTO,MIRO,4500000022,USD,1.0,,,RMRP,4500000022,20240122,
100,1000,0100000023,2024,KR,20240123,20240123,01,20240123,172702,FI_AUTO,MIRO,4500000023,USD,1.0,,,RMRP,4500000023,20240123,
100,1000,0100000024,2024,KR,20240124,20240124,01,20240124,160537,FI_AUTO,MIRO,4500000024,USD,1.0,,,RMRP,4500000024,20240124,
100,2000,0100000025,2024,KR,20240125,20240125,01,20240125,061043,FI_AUTO,MIRO,4500000025,USD,1.0,,,RMRP,4500000025,20240125,
100,1000,0100000026,2024,KR,20240126,20240126,01,20240126,092747,FI_AUTO,MIRO,4500000026,USD,1.0,,,RMRP,4500000026,20240126,
100,1000,0100000027,2024,KR,20240127,20240127,01,20240127,174213,FI_AUTO,MIRO,4500000027,USD,1.0,,,RMRP,4500000027,20240127,
100,2000,0100000028,2024,KR,20240128,20240128,01,20240128,060413,FI_AUTO,MIRO,4500000028,USD,1.0,,,RMRP,4500000028,20240128,
100,1000,0100000029,2024,KR,20240129,20240129,01,20240129,101218,FI_AUTO,MIRO,4500000029,USD,1.0,,,RMRP,4500000029,20240129,
100,1000,0100000030,2024,KR,20240130,20240130,01,20240130,163045,FI_AUTO,MIRO,4500000030,USD,1.0,,,RMRP,4500000030,20240130,
100,1000,0100000031,2024,KR,20240131,20240131,01,20240131,173509,FI_AUTO,MIRO,4500000031,USD,1.0,,,RMRP,4500000031,20240131,
100,2000,0100000032,2024,KR,20240201,20240201,02,20240201,074718,FI_AUTO,MIRO,4500000032,USD,1.0,,,RMRP,4500000032,20240201,
100,2000,0100000033,2024,KR,20240202,20240202,02,20240202,080128,FI_AUTO,MIRO,4500000033,USD,1.0,,,RMRP,4500000033,20240202,
100,1000,0100000034,2024,KR,20240203,20240203,02,20240203,143056,FI_AUTO,MIRO,4500000034,USD,1.0,,,RMRP,4500000034,20240203,
100,1000,0100000035,2024,KR,20240204,20240204,02,20240204,100717,FI_AUTO,MIRO,4500000035,USD,1.0,,,RMRP,4500000035,20240204,
100,2000,0100000036,2024,KR,20240205,20240205,02,20240205,185926,FI_AUTO,MIRO,4500000036,USD,1.0,,,RMRP,4500000036,20240205,
100,2000,0100000037,2024,KR,20240206,20240206,02,20240206,090441,FI_AUTO,MIRO,4500000037,USD,1.0,,,RMRP,4500000037,20240206,
100,1000,0100000038,2024,KR,20240207,20240207,02,20240207,143420,FI_AUTO,MIRO,4500000038,USD,1.0,,,RMRP,4500000038,20240207,
100,1000,0100000039,2024,KR,20240208,20240208,02,20240208,121430,FI_AUTO,MIRO,4500000039,USD,1.0,,,RMRP,4500000039,20240208,
100,1000,0100000040,2024,KR,20240209,20240209,02,20240209,163356,FI_AUTO,MIRO,4500000040,USD,1.0,,,RMRP,4500000040,20240209,
100,1000,0100000041,2024,KR,20240210,20240210,02,20240210,141202,FI_AUTO,MIRO,4500000041,USD,1.0,,,RMRP,4500000041,20240210,
100,2000,0100000042,2024,KR,20240211,20240211,02,20240211,162330,FI_AUTO,MIRO,4500000042,USD,1.0,,,RMRP,4500000042,20240211,
100,2000,0100000043,2024,KR,20240212,20240212,02,20240212,072523,FI_AUTO,MIRO,4500000043,USD,1.0,,,RMRP,4500000043,20240212,
100,2000,0100000044,2024,KR,20240213,20240213,02,20240213,140356,FI_AUTO,MIRO,4500000044,USD,1.0,,,RMRP,4500000044,20240213,
100,1000,0100000045,2024,KR,20240214,20240214,02,20240214,144339,FI_AUTO,MIRO,4500000045,USD,1.0,,,RMRP,4500000045,20240214,
100,1000,0100000046,2024,KR,20240215,20240215,02,20240215,160818,FI_AUTO,MIRO,4500000046,USD,1.0,,,RMRP,4500000046,20240215,
100,2000,0100000047,2024,KR,20240216,20240216,02,20240216,184511,FI_AUTO,MIRO,4500000047,USD,1.0,,,RMRP,4500000047,20240216,
100,2000,0100000048,2024,KR,20240217,20240217,02,20240217,082704,FI_AUTO,MIRO,4500000048,USD,1.0,,,RMRP,4500000048,20240217,
100,2000,0100000049,2024,KR,20240218,20240218,02,20240218,172402,FI_AUTO,MIRO,4500000049,USD,1.0,,,RMRP,4500000049,20240218,
100,2000,0100000050,2024,KR,20240219,20240219,02,20240219,185127,FI_AUTO,MIRO,4500000050,USD,1.0,,,RMRP,4500000050,20240219,
100,2000,0100000051,2024,KR,20240220,20240220,02,20240220,151244,FI_AUTO,MIRO,4500000051,USD,1.0,,,RMRP,4500000051,20240220,
100,1000,0100000052,2024,KR,20240221,20240221,02,20240221,092858,FI_AUTO,MIRO,4500000052,USD,1.0,,,RMRP,4500000052,20240221,
100,1000,0100000053,2024,KR,20240222,20240222,02,20240222,154712,FI_AUTO,MIRO,4500000053,USD,1.0,,,RMRP,4500000053,20240222,
100,2000,0100000054,2024,KR,20240223,20240223,02,20240223,061921,FI_AUTO,MIRO,4500000054,USD,1.0,,,RMRP,4500000054,20240223,
100,1000,0100000055,2024,KR,20240224,20240224,02,20240224,064957,FI_AUTO,MIRO,4500000055,USD,1.0,,,RMRP,4500000055,20240224,
100,2000,0100000056,2024,KR,20240225,20240225,02,20240225,171417,FI_AUTO,MIRO,4500000056,USD,1.0,,,RMRP,4500000056,20240225,
100,1000,0100000057,2024,KR,20240226,20240226,02,20240226,072518,FI_AUTO,MIRO,4500000057,USD,1.0,,,RMRP,4500000057,20240226,
100,1000,0100000058,2024,KR,20240227,20240227,02,20240227,151146,FI_AUTO,MIRO,4500000058,USD,1.0,,,RMRP,4500000058,20240227,
100,1000,0100000059,2024,KR,20240228,20240228,02,20240228,172635,FI_AUTO,MIRO,4500000059,USD,1.0,,,RMRP,4500000059,20240228,
100,1000,0100000060,2024,KR,20240229,20240229,02,20240229,095946,FI_AUTO,MIRO,4500000060,USD,1.0,,,RMRP,4500000060,20240229,
100,2000,0100000061,2024,KR,20240301,20240301,03,20240301,171040,FI_AUTO,MIRO,4500000061,USD,1.0,,,RMRP,4500000061,20240301,
100,1000,0100000062,2024,KR,20240302,20240302,03,20240302,183506,FI_AUTO,MIRO,4500000062,USD,1.0,,,RMRP,4500000062,20240302,
100,2000,0100000063,2024,KR,20240303,20240303,03,20240303,115713,FI_AUTO,MIRO,4500000063,USD,1.0,,,RMRP,4500000063,20240303,
100,1000,0100000064,2024,KR,20240304,20240304,03,20240304,173234,FI_AUTO,MIRO,4500000064,USD,1.0,,,RMRP,4500000064,20240304,
100,1000,0100000065,2024,KR,20240305,20240305,03,20240305,080512,FI_AUTO,MIRO,4500000065,USD,1.0,,,RMRP,4500000065,20240305,
100,1000,0100000066,2024,KR,20240306,20240306,03,20240306,120341,FI_AUTO,MIRO,4500000066,USD,1.0,,,RMRP,4500000066,20240306,
100,2000,0100000067,2024,KR,20240307,20240307,03,20240307,100458,FI_AUTO,MIRO,4500000067,USD,1.0,,,RMRP,4500000067,20240307,
100,2000,0100000068,2024,KR,20240308,20240308,03,20240308,142925,FI_AUTO,MIRO,4500000068,USD,1.0,,,RMRP,4500000068,20240308,
100,2000,0100000069,2024,KR,20240309,20240309,03,20240309,131938,FI_AUTO,MIRO,4500000069,USD,1.0,,,RMRP,4500000069,20240309,
100,2000,0100000070,2024,KR,20240310,20240310,03,20240310,125844,FI_AUTO,MIRO,4500000070,USD,1.0,,,RMRP,4500000070,20240310,
100,1000,0100000071,2024,KR,20240311,20240311,03,20240311,070021,FI_AUTO,MIRO,4500000071,USD,1.0,,,RMRP,4500000071,20240311,
100,1000,0100000072,2024,KR,20240312,20240312,03,20240312,072630,FI_AUTO,MIRO,4500000072,USD,1.0,,,RMRP,4500000072,20240312,
100,2000,0100000073,2024,KR,20240313,20240313,03,20240313,143242,FI_AUTO,MIRO,4500000073,USD,1.0,,,RMRP,4500000073,20240313,
100,2000,0100000074,2024,KR,20240314,20240314,03,20240314,161438,FI_AUTO,MIRO,4500000074,USD,1.0,,,RMRP,4500000074,20240314,
100,2000,0100000075,2024,KR,20240315,20240315,03,20240315,163614,FI_AUTO,MIRO,4500000075,USD,1.0,,,RMRP,4500000075,20240315,
100,1000,0100000076,2024,KR,20240316,20240316,03,20240316,085011,FI_AUTO,MIRO,4500000076,USD,1.0,,,RMRP,4500000076,20240316,
100,2000,0100000077,2024,KR,20240317,20240317,03,20240317,140617,FI_AUTO,MIRO,4500000077,USD,1.0,,,RMRP,4500000077,20240317,
100,2000,0100000078,2024,KR,20240318,20240318,03,20240318,093720,FI_AUTO,MIRO,4500000078,USD,1.0,,,RMRP,4500000078,20240318,
100,1000,0100000079,2024,KR,20240319,20240319,03,20240319,123733,FI_AUTO,MIRO,4500000079,USD,1.0,,,RMRP,4500000079,20240319,
100,2000,0100000080,2024,KR,20240320,20240320,03,20240320,181102,FI_AUTO,MIRO,4500000080,USD,1.0,,,RMRP,4500000080,20240320,
100,2000,0100000081,2024,KR,20240321,20240321,03,20240321,105232,FI_AUTO,MIRO,4500000081,USD,1.0,,,RMRP,4500000081,20240321,
100,2000,0100000082,2024,KR,20240322,20240322,03,20240322,160521,FI_AUTO,MIRO,4500000082,USD,1.0,,,RMRP,4500000082,20240322,
100,2000,0100000083,2024,KR,20240323,20240323,03,20240323,165350,FI_AUTO,MIRO,4500000083,USD,1.0,,,RMRP,4500000083,20240323,
100,1000,0100000084,2024,KR,20240324,20240324,03,20240324,065244,FI_AUTO,MIRO,4500000084,USD,1.0,,,RMRP,4500000084,20240324,
