MANDT,BUKRS,BELNR,GJAHR,BUZEI,BSCHL,KOART,SHKZG,GSBER,HKONT,DMBTR,WRBTR,MWSKZ,KOSTL,ZUONR,SGTXT,LIFNR,KUNNR,PRCTR,MATNR,UMSKZ
100,1000,0100000001,2024,001,40,S,S,,0000400000,28319.61,28319.61,I1,MIN200,4500000001,,,,,,
100,1000,0100000001,2024,002,31,K,H,,0000050205,28319.61,28319.61,I1,,4500000001,,0000050205,,,,
100,1000,0100000002,2024,001,40,S,S,,0000400000,37012.29,37012.29,I1,MIN100,4500000002,,,,,,
100,1000,0100000002,2024,002,31,K,H,,0000050156,37012.29,37012.29,I1,,4500000002,,0000050156,,,,
100,1000,0100000003,2024,001,40,S,S,,0000400000,29827.3,29827.3,I1,MANT200,4500000003,,,,,,
100,1000,0100000003,2024,002,31,K,H,,0000050113,29827.3,29827.3,I1,,4500000003,,0000050113,,,,
100,2000,0100000004,2024,001,40,S,S,,0000400000,29292.94,29292.94,I1,REF100,4500000004,,,,,,
100,2000,0100000004,2024,002,31,K,H,,0000050097,29292.94,29292.94,I1,,4500000004,,0000050097,,,,
100,2000,0100000005,2024,001,40,S,S,,0000400000,16754.9,16754.9,I1,REF100,4500000005,,,,,,
100,2000,0100000005,2024,002,31,K,H,,0000050273,16754.9,16754.9,I1,,4500000005,,0000050273,,,,
100,2000,0100000006,2024,001,40,S,S,,0000400000,23180.82,23180.82,I1,LOG100,4500000006,,,,,,
100,2000,0100000006,2024,002,31,K,H,,0000050174,23180.82,23180.82,I1,,4500000006,,0000050174,,,,
100,2000,0100000007,2024,001,40,S,S,,0000400000,48592.04,48592.04,I1,LAB100,4500000007,,,,,,
100,2000,0100000007,2024,002,31,K,H,,0000050119,48592.04,48592.04,I1,,4500000007,,0000050119,,,,
100,1000,0100000008,2024,001,40,S,S,,0000400000,1712.7,1712.7,I1,MANT100,4500000008,,,,,,
100,1000,0100000008,2024,002,31,K,H,,0000050178,1712.7,1712.7,I1,,4500000008,,0000050178,,,,
100,2000,0100000009,2024,001,40,S,S,,0000400000,12738.07,12738.07,I1,LAB100,4500000009,,,,,,
100,2000,0100000009,2024,002,31,K,H,,0000050183,12738.07,12738.07,I1,,4500000009,,0000050183,,,,
100,2000,0100000010,2024,001,40,S,S,,0000400000,10759.37,10759.37,I1,LAB100,4500000010,,,,,,
100,2000,0100000010,2024,002,31,K,H,,0000050209,10759.37,10759.37,I1,,4500000010,,0000050209,,,,
100,1000,0100000011,2024,001,40,S,S,,0000400000,38699.5,38699.5,I1,MIN100,4500000011,,,,,,
100,1000,0100000011,2024,002,31,K,H,,0000050160,38699.5,38699.5,I1,,4500000011,,0000050160,,,,
100,2000,0100000012,2024,001,40,S,S,,0000400000,20951.01,20951.01,I1,LAB100,4500000012,,,,,,
100,2000,0100000012,2024,002,31,K,H,,0000050039,20951.01,20951.01,I1,,4500000012,,0000050039,,,,
100,2000,0100000013,2024,001,40,S,S,,0000400000,45777.47,45777.47,I1,LOG100,4500000013,,,,,,
100,2000,0100000013,2024,002,31,K,H,,0000050049,45777.47,45777.47,I1,,4500000013,,0000050049,,,,
100,2000,0100000014,2024,001,40,S,S,,0000400000,9412.79,9412.79,I1,LAB100,4500000014,,,,,,
100,2000,0100000014,2024,002,31,K,H,,0000050058,9412.79,9412.79,I1,,4500000014,,0000050058,,,,
100,2000,0100000015,2024,001,40,S,S,,0000400000,24055.45,24055.45,I1,LOG100,4500000015,,,,,,
100,2000,0100000015,2024,002,31,K,H,,0000050023,24055.45,24055.45,I1,,4500000015,,0000050023,,,,
100,2000,0100000016,2024,001,40,S,S,,0000400000,37924.28,37924.28,I1,LAB100,4500000016,,,,,,
100,2000,0100000016,2024,002,31,K,H,,0000050245,37924.28,37924.28,I1,,4500000016,,0000050245,,,,
100,1000,0100000017,2024,001,40,S,S,,0000400000,4402.9,4402.9,I1,PLAN100,4500000017,,,,,,
100,1000,0100000017,2024,002,31,K,H,,0000050148,4402.9,4402.9,I1,,4500000017,,0000050148,,,,
100,1000,0100000018,2024,001,40,S,S,,0000400000,20572.23,20572.23,I1,MANT200,4500000018,,,,,,
100,1000,0100000018,2024,002,31,K,H,,0000050025,20572.23,20572.23,I1,,4500000018,,0000050025,,,,
100,1000,0100000019,2024,001,40,S,S,,0000400000,46234.05,46234.05,I1,MIN100,4500000019,,,,,,
100,1000,0100000019,2024,002,31,K,H,,0000050222,46234.05,46234.05,I1,,4500000019,,0000050222,,,,
100,1000,0100000020,2024,001,40,S,S,,0000400000,15755.46,15755.46,I1,MIN200,4500000020,,,,,,
100,1000,0100000020,2024,002,31,K,H,,0000050045,15755.46,15755.46,I1,,4500000020,,0000050045,,,,
100,1000,0100000021,2024,001,40,S,S,,0000400000,26158.99,26158.99,I1,MANT200,4500000021,,,,,,
100,1000,0100000021,2024,002,31,K,H,,0000050050,26158.99,26158.99,I1,,4500000021,,0000050050,,,,
100,2000,0100000022,2024,001,40,S,S,,0000400000,22475.91,22475.91,I1,LOG100,4500000022,,,,,,
100,2000,0100000022,2024,002,31,K,H,,0000050012,22475.91,22475.91,I1,,4500000022,,0000050012,,,,
100,1000,0100000023,2024,001,40,S,S,,0000400000,32226.56,32226.56,I1,MIN100,4500000023,,,,,,
100,1000,0100000023,2024,002,31,K,H,,0000050266,32226.56,32226.56,I1,,4500000023,,0000050266,,,,
100,1000,0100000024,2024,001,40,S,S,,0000400000,40612.31,40612.31,I1,MANT100,4500000024,,,,,,
100,1000,0100000024,2024,002,31,K,H,,0000050014,40612.31,40612.31,I1,,4500000024,,0000050014,,,,
100,2000,0100000025,2024,001,40,S,S,,0000400000,23804.17,23804.17,I1,REF100,4500000025,,,,,,
100,2000,0100000025,2024,002,31,K,H,,0000050142,23804.17,23804.17,I1,,4500000025,,0000050142,,,,
100,1000,0100000026,2024,001,40,S,S,,0000400000,9711.23,9711.23,I1,MANT100,4500000026,,,,,,
100,1000,0100000026,2024,002,31,K,H,,0000050002,9711.23,9711.23,I1,,4500000026,,0000050002,,,,
100,1000,0100000027,2024,001,40,S,S,,0000400000,22351.11,22351.11,I1,MIN200,4500000027,,,,,,
100,1000,0100000027,2024,002,31,K,H,,0000050188,22351.11,22351.11,I1,,4500000027,,0000050188,,,,
100,2000,0100000028,2024,001,40,S,S,,0000400000,12844.49,12844.49,I1,LAB100,4500000028,,,,,,
100,2000,0100000028,2024,002,31,K,H,,0000050035,12844.49,12844.49,I1,,4500000028,,0000050035,,,,
100,1000,0100000029,2024,001,40,S,S,,0000400000,26513.82,26513.82,I1,MIN100,4500000029,,,,,,
100,1000,0100000029,2024,002,31,K,H,,0000050167,26513.82,26513.82,I1,,4500000029,,0000050167,,,,
100,1000,0100000030,2024,001,40,S,S,,0000400000,9827.89,9827.89,I1,MIN100,4500000030,,,,,,
100,1000,0100000030,2024,002,31,K,H,,0000050236,9827.89,9827.89,I1,,4500000030,,0000050236,,,,
100,1000,0100000031,2024,001,40,S,S,,0000400000,40337.25,40337.25,I1,MIN100,4500000031,,,,,,
100,1000,0100000031,2024,002,31,K,H,,0000050194,40337.25,40337.25,I1,,4500000031,,0000050194,,,,
100,2000,0100000032,2024,001,40,S,S,,0000400000,6654.59,6654.59,I1,LAB100,4500000032,,,,,,
100,2000,0100000032,2024,002,31,K,H,,0000050043,6654.59,6654.59,I1,,4500000032,,0000050043,,,,
100,2000,0100000033,2024,001,40,S,S,,0000400000,19396.73,19396.73,I1,LAB100,4500000033,,,,,,
100,2000,0100000033,2024,002,31,K,H,,0000050286,19396.73,19396.73,I1,,4500000033,,0000050286,,,,
100,1000,0100000034,2024,001,40,S,S,,0000400000,13139.25,13139.25,I1,MIN200,4500000034,,,,,,
100,1000,0100000034,2024,002,31,K,H,,0000050287,13139.25,13139.25,I1,,4500000034,,0000050287,,,,
100,1000,0100000035,2024,001,40,S,S,,0000400000,36782.8,36782.8,I1,MIN200,4500000035,,,,,,
100,1000,0100000035,2024,002,31,K,H,,0000050257,36782.8,36782.8,I1,,4500000035,,0000050257,,,,
100,2000,0100000036,2024,001,40,S,S,,0000400000,46621.14,46621.14,I1,LAB100,4500000036,,,,,,
