MANDT,EBELN,EBELP,TXZ01,MATNR,MENGE,MEINS,NETPR,PEINH,BRTWR,WAERS,BUKRS,WERKS,LGORT,MATKL,LOEKZ,STATU,PSTYP,KNTTP,BANFN,BNFPO,ELIKZ,RETPO,AEDAT
100,4500000001,00010,Material 30020,30020,46,L,612.44,1,28172.24,USD,1000,1000,0001,GRP_HIBE,,B,0,K,,,,,20240101
100,4500000001,00020,Material 10221,10221,29,UN,762.77,1,22120.33,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240101
100,4500000002,00010,Material 80000,80000,2,AU,257.88,1,515.76,USD,1000,1000,0001,GRP_DIEN,,B,0,K,,,,,20240102
100,4500000002,00020,Material 10108,10108,48,UN,633.4,1,30403.2,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240102
100,4500000002,00030,Material 10093,10093,45,UN,310.07,1,13953.15,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240102
100,4500000002,00040,Material 10240,10240,36,UN,570.43,1,20535.48,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240102
100,4500000003,00010,Material 10119,10119,18,UN,305.29,1,5495.22,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240103
100,4500000003,00020,Material 80047,80047,14,AU,87.86,1,1230.04,USD,1000,1000,0001,GRP_DIEN,,B,0,K,,,,,20240103
100,4500000003,00030,Material 10216,10216,20,UN,126.1,1,2522.0,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240103
100,4500000003,00040,Material 10078,10078,19,UN,618.61,1,11753.59,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240103
100,4500000004,00010,Material 10080,10080,4,UN,231.3,1,925.2,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240104
100,4500000004,00020,Material 10022,10022,21,UN,736.89,1,15474.69,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240104
100,4500000004,00030,Material 10024,10024,9,UN,236.4,1,2127.6,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240104
100,4500000004,00040,Material 10167,10167,7,UN,664.14,1,4648.98,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240104
100,4500000005,00010,Material 80000,80000,18,AU,525.54,1,9459.72,USD,2000,2000,0001,GRP_DIEN,,B,0,K,,,,,20240105
100,4500000006,00010,Material 10040,10040,38,UN,515.49,1,19588.62,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240106
100,4500000007,00010,Material 10248,10248,50,UN,437.65,1,21882.5,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240107
100,4500000008,00010,Material 30023,30023,45,L,282.55,1,12714.75,USD,1000,1000,0001,GRP_HIBE,,B,0,K,,,,,20240108
100,4500000008,00020,Material 30040,30040,5,L,512.35,1,2561.75,USD,1000,1000,0001,GRP_HIBE,,B,0,K,,,,,20240108
100,4500000009,00010,Material 10200,10200,28,UN,648.16,1,18148.48,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240109
100,4500000010,00010,Material 10061,10061,48,UN,357.89,1,17178.72,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240110
100,4500000010,00020,Material 10038,10038,43,UN,552.21,1,23745.03,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240110
100,4500000010,00030,Material 80036,80036,24,AU,718.83,1,17251.92,USD,2000,2000,0001,GRP_DIEN,,B,0,K,,,,,20240110
100,4500000010,00040,Material 10221,10221,16,UN,286.96,1,4591.36,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240110
100,4500000011,00010,Material 10000,10000,21,UN,606.41,1,12734.61,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240111
100,4500000011,00020,Material 10003,10003,33,UN,787.81,1,25997.73,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240111
100,4500000012,00010,Material 30004,30004,28,L,67.98,1,1903.44,USD,2000,2000,0001,GRP_HIBE,,B,0,K,,,,,20240112
100,4500000012,00020,Material 10021,10021,48,UN,624.1,1,29956.8,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240112
100,4500000013,00010,Material 80007,80007,10,AU,414.19,1,4141.9,USD,2000,2000,0001,GRP_DIEN,,B,0,K,,,,,20240113
100,4500000013,00020,Material 10268,10268,33,UN,467.95,1,15442.35,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240113
