MANDT,LIFNR,LAND1,NAME1,NAME2,ORT01,PSTLZ,REGIO,SORTL,STRAS,TELF1,TELFX,ERDAT,ERNAM,KTOKK,SPRAS,LOEVM,SPERR,STCD1
100,0000050000,CL,Servicios Rivas Ltda,,Calama,5198320,VA,SERVICIOS ,Av. Cecilia Sáez 7493 Of. 999,+56 9 6102 4455,,20230101,SAP_MIG,0001,S,,,67787649-8
100,0000050001,CL,Tecnologías Torres Ltda,,Calama,2961200,RM,TECNOLOGÍA,Manuel Olivares 2545,+56 2 2822 9014,,20230101,SAP_MIG,0001,S,,,86191547-3
100,0000050002,CL,Maestranza Ponce Ltda,,Copiapó,7976430,RM,MAESTRANZA,Gabriela Mistral 5978,+56 2 2536 9003,,20230101,SAP_MIG,0001,S,,,79400398-8
100,0000050003,CL,Servicios Saldías Ltda,,Calama,2445100,AN,SERVICIOS ,Diego Barros Arana 938 Of. 751,+56 32 377 1596,,20230101,SAP_MIG,0001,S,,,65079183-1
100,0000050004,CL,Maestranza Pereira Ltda,,Valparaíso,6416050,AN,MAESTRANZA,Gabriela Alfaro 461,+56 67 366 8164,,20230101,SAP_MIG,0001,S,,,87173044-3
100,0000050005,CL,Tecnologías Espinoza Ltda,,Antofagasta,2181880,AT,TECNOLOGÍA,Gabriela Mistral 3,+56 2 3312 4329,,20230101,SAP_MIG,0001,S,,,54764265-K
100,0000050006,CL,Ingeniería Cisternas Ltda,,Antofagasta,1277990,AT,INGENIERÍA,Lucía De La Fuente 2527 Piso 57,+56 9 2158 1477,,20230101,SAP_MIG,0001,S,,,52108087-5
100,0000050007,CL,Ingeniería Rojas Ltda,,Calama,4119980,VA,INGENIERÍA,Las Lilas 407 Piso 99,+56 2 3307 1518,,20230101,SAP_MIG,0001,S,,,68688292-K
100,0000050008,CL,Servicios Muñoz Ltda,,Valparaíso,7788920,AT,SERVICIOS ,Los Copihues 159 Of. 651,+56 9 8344 9251,,20230101,SAP_MIG,0001,S,,,58879297-9
100,0000050009,CL,Tecnologías Águila Ltda,,Calama,4629140,RM,TECNOLOGÍA,Lautaro 781 Of. 6503,+56 2 3257 3322,,20230101,SAP_MIG,0001,S,,,81740676-6
