MANDT,MBLNR,MJAHR,ZEILE,BWART,MATNR,WERKS,LGORT,CHARG,LIFNR,MENGE,MEINS,EBELN,EBELP,DMBTR,WAERS,BUKRS,SHKZG,BLDAT,BUDAT,CPUDT,BKTXT,XAUTO
100,5000000001,2024,0001,101,30020,1000,0001,,0000050205,46,L,4500000001,00010,28172.24,USD,1000,S,20240107,20240107,20240107,,
100,5000000002,2024,0001,101,10221,1000,0001,,0000050205,29,UN,4500000001,00020,22120.33,USD,1000,S,20240108,20240108,20240108,,
100,5000000003,2024,0001,101,80000,1000,0001,,0000050156,2,AU,4500000002,00010,515.76,USD,1000,S,20240109,20240109,20240109,,
100,5000000004,2024,0001,101,10108,1000,0001,,0000050156,48,UN,4500000002,00020,30403.2,USD,1000,S,20240107,20240107,20240107,,
100,5000000005,2024,0001,101,10093,1000,0001,,0000050156,45,UN,4500000002,00030,13953.15,USD,1000,S,20240107,20240107,20240107,,
100,5000000006,2024,0001,101,10240,1000,0001,,0000050156,36,UN,4500000002,00040,20535.48,USD,1000,S,20240105,20240105,20240105,,
100,5000000007,2024,0001,101,10119,1000,0001,,0000050113,18,UN,4500000003,00010,5495.22,USD,1000,S,20240109,20240109,20240109,,
100,5000000008,2024,0001,101,80047,1000,0001,,0000050113,14,AU,4500000003,00020,1230.04,USD,1000,S,20240105,20240105,20240105,,
100,5000000009,2024,0001,101,10216,1000,0001,,0000050113,20,UN,4500000003,00030,2522.0,USD,1000,S,20240105,20240105,20240105,,
100,5000000010,2024,0001,101,10078,1000,0001,,0000050113,19,UN,4500000003,00040,11753.59,USD,1000,S,20240106,20240106,20240106,,
100,5000000011,2024,0001,101,10080,2000,0001,,0000050097,4,UN,4500000004,00010,925.2,USD,2000,S,20240107,20240107,20240107,,
100,5000000012,2024,0001,101,10022,2000,0001,,0000050097,21,UN,4500000004,00020,15474.69,USD,2000,S,20240108,20240108,20240108,,
100,5000000013,2024,0001,101,10024,2000,0001,,0000050097,9,UN,4500000004,00030,2127.6,USD,2000,S,20240106,20240106,20240106,,
100,5000000014,2024,0001,101,10167,2000,0001,,0000050097,7,UN,4500000004,00040,4648.98,USD,2000,S,20240108,20240108,20240108,,
100,5000000015,2024,0001,101,80000,2000,0001,,0000050273,18,AU,4500000005,00010,9459.72,USD,2000,S,20240111,20240111,20240111,,
100,5000000016,2024,0001,101,10040,2000,0001,,0000050174,38,UN,4500000006,00010,19588.62,USD,2000,S,20240109,20240109,20240109,,
100,5000000017,2024,0001,101,10248,2000,0001,,0000050119,50,UN,4500000007,00010,21882.5,USD,2000,S,20240112,20240112,20240112,,
100,5000000018,2024,0001,101,30023,1000,0001,,0000050178,45,L,4500000008,00010,12714.75,USD,1000,S,20240111,20240111,20240111,,
100,5000000019,2024,0001,101,30040,1000,0001,,0000050178,5,L,4500000008,00020,2561.75,USD,1000,S,20240115,20240115,20240115,,
100,5000000020,2024,0001,101,10200,2000,0001,,0000050183,28,UN,4500000009,00010,18148.48,USD,2000,S,20240111,20240111,20240111,,
100,5000000021,2024,0001,101,10061,2000,0001,,0000050209,48,UN,4500000010,00010,17178.72,USD,2000,S,20240117,20240117,20240117,,
100,5000000022,2024,0001,101,10038,2000,0001,,0000050209,43,UN,4500000010,00020,23745.03,USD,2000,S,20240115,20240115,20240115,,
100,5000000023,2024,0001,101,80036,2000,0001,,0000050209,24,AU,4500000010,00030,17251.92,USD,2000,S,20240116,20240116,20240116,,
100,5000000024,2024,0001,101,10221,2000,0001,,0000050209,16,UN,4500000010,00040,4591.36,USD,2000,S,20240111,20240111,20240111,,
100,5000000025,2024,0001,101,10000,1000,0001,,0000050160,21,UN,4500000011,00010,12734.61,USD,1000,S,20240117,20240117,20240117,,
100,5000000026,2024,0001,101,10003,1000,0001,,0000050160,33,UN,4500000011,00020,25997.73,USD,1000,S,20240117,20240117,20240117,,
100,5000000027,2024,0001,101,30004,2000,0001,,0000050039,28,L,4500000012,00010,1903.44,USD,2000,S,20240117,20240117,20240117,,
100,5000000028,2024,0001,101,10021,2000,0001,,0000050039,48,UN,4500000012,00020,29956.8,USD,2000,S,20240113,20240113,20240113,,
100,5000000029,2024,0001,101,80007,2000,0001,,0000050049,10,AU,4500000013,00010,4141.9,USD,2000,S,20240118,20240118,20240118,,
100,5000000030,2024,0001,101,10268,2000,0001,,0000050049,33,UN,4500000013,00020,15442.35,USD,2000,S,20240118,20240118,20240118,,
100,5000000031,2024,0001,101,10284,2000,0001,,0000050058,34,UN,4500000014,00010,4603.94,USD,2000,S,20240119,20240119,20240119,,
100,5000000032,2024,0001,101,10242,2000,0001,,0000050058,46,UN,4500000014,00020,20780.04,USD,2000,S,20240117,20240117,20240117,,
100,5000000033,2024,0001,101,80038,2000,0001,,0000050023,38,AU,4500000015,00010,12781.68,USD,2000,S,20240119,20240119,20240119,,
100,5000000034,2024,0001,101,10006,2000,0001,,0000050245,31,UN,4500000016,00010,23619.83,USD,2000,S,20240122,20240122,20240122,,
100,5000000035,2024,0001,101,10234,1000,0001,,0000050148,14,UN,4500000017,00010,4392.92,USD,1000,S,20240120,20240120,20240120,,
100,5000000036,2024,0001,101,10009,1000,0001,,0000050148,30,UN,4500000017,00020,13104.6,USD,1000,S,20240123,20240123,20240123,,
100,5000000037,2024,0001,101,10266,1000,0001,,0000050025,49,UN,4500000018,00010,24441.69,USD,1000,S,20240124,20240124,20240124,,
100,5000000038,2024,0001,101,10291,1000,0001,,0000050025,24,UN,4500000018,00020,3058.32,USD,1000,S,20240121,20240121,20240121,,
100,5000000039,2024,0001,101,10177,1000,0001,,0000050025,19,UN,4500000018,00030,9607.73,USD,1000,S,20240120,20240120,20240120,,
100,5000000040,2024,0001,101,10210,1000,0001,,0000050025,30,UN,4500000018,00040,21563.1,USD,1000,S,20240121,20240121,20240121,,
100,5000000041,2024,0001,101,10230,1000,0001,,0000050222,24,UN,4500000019,00010,2430.72,USD,1000,S,20240124,20240124,20240124,,
100,5000000042,2024,0001,101,10172,1000,0001,,0000050222,49,UN,4500000019,00020,20509.93,USD,1000,S,20240120,20240120,20240120,,
100,5000000043,2024,0001,101,10043,1000,0001,,0000050222,28,UN,4500000019,00030,7790.72,USD,1000,S,20240123,20240123,20240123,,
100,5000000044,2024,0001,101,10023,1000,0001,,0000050222,23,UN,4500000019,00040,12687.49,USD,1000,S,20240126,20240126,20240126,,
100,5000000045,2024,0001,101,10107,1000,0001,,0000050045,38,UN,4500000020,00010,28462.0,USD,1000,S,20240121,20240121,20240121,,
100,5000000046,2024,0001,101,30018,1000,0001,,0000050045,3,L,4500000020,00020,453.09,USD,1000,S,20240125,20240125,20240125,,
100,5000000047,2024,0001,101,10177,1000,0001,,0000050045,28,UN,4500000020,00030,8356.88,USD,1000,S,20240127,20240127,20240127,,
100,5000000048,2024,0001,101,10109,1000,0001,,0000050045,16,UN,4500000020,00040,10046.4,USD,1000,S,20240126,20240126,20240126,,
100,5000000049,2024,0001,101,10055,1000,0001,,0000050050,38,UN,4500000021,00010,24208.66,USD,1000,S,20240128,20240128,20240128,,
100,5000000050,2024,0001,101,10212,1000,0001,,0000050050,7,UN,4500000021,00020,2298.66,USD,1000,S,20240126,20240126,20240126,,
100,5000000051,2024,0001,101,10246,1000,0001,,0000050050,44,UN,4500000021,00030,7271.88,USD,1000,S,20240128,20240128,20240128,,
100,5000000052,2024,0001,101,10052,1000,0001,,0000050050,10,UN,4500000021,00040,2469.7,USD,1000,S,20240122,20240122,20240122,,
100,5000000053,2024,0001,101,10151,2000,0001,,0000050012,38,UN,4500000022,00010,30187.58,USD,2000,S,20240127,20240127,20240127,,
100,5000000054,2024,0001,101,30031,2000,0001,,0000050012,47,L,4500000022,00020,3635.92,USD,2000,S,20240127,20240127,20240127,,
100,5000000055,2024,0001,101,80000,2000,0001,,0000050012,36,AU,4500000022,00030,24559.2,USD,2000,S,20240127,20240127,20240127,,
100,5000000056,2024,0001,101,10158,1000,0001,,0000050266,25,UN,4500000023,00010,3076.25,USD,1000,S,20240125,20240125,20240125,,
100,5000000057,2024,0001,101,10006,1000,0001,,0000050266,13,UN,4500000023,00020,8433.75,USD,1000,S,20240130,20240130,20240130,,
100,5000000058,2024,0001,101,10002,1000,0001,,0000050014,15,UN,4500000024,00010,5123.7,USD,1000,S,20240129,20240129,20240129,,
100,5000000059,2024,0001,101,10002,2000,0001,,0000050142,18,UN,4500000025,00010,7775.64,USD,2000,S,20240129,20240129,20240129,,
100,5000000060,2024,0001,101,10001,2000,0001,,0000050142,33,UN,4500000025,00020,20370.24,USD,2000,S,20240131,20240131,20240131,,
100,5000000061,2024,0001,101,10001,2000,0001,,0000050142,23,UN,4500000025,00030,3445.4,USD,2000,S,20240130,20240130,20240130,,
100,5000000062,2024,0001,101,10003,2000,0001,,0000050142,11,UN,4500000025,00040,2098.14,USD,2000,S,20240127,20240127,20240127,,
100,5000000063,2024,0001,101,10019,1000,0001,,0000050002,9,UN,4500000026,00010,1965.06,USD,1000,S,20240129,20240129,20240129,,
100,5000000064,2024,0001,101,10019,1000,0001,,0000050002,24,UN,4500000026,00020,8080.32,USD,1000,S,20240130,20240130,20240130,,
100,5000000065,2024,0001,101,10134,1000,0001,,0000050188,7,UN,4500000027,00010,5195.89,USD,1000,S,20240203,20240203,20240203,,
100,5000000066,2024,0001,101,10022,2000,0001,,0000050035,46,UN,4500000028,00010,21008.2,USD,2000,S,20240129,20240129,20240129,,
100,5000000067,2024,0001,101,10092,2000,0001,,0000050035,14,UN,4500000028,00020,6780.76,USD,2000,S,20240201,20240201,20240201,,
100,5000000068,2024,0001,101,10269,2000,0001,,0000050035,36,UN,4500000028,00030,9735.48,USD,2000,S,20240131,20240131,20240131,,
100,5000000069,2024,0001,101,10248,2000,0001,,0000050035,41,UN,4500000028,00040,20937.06,USD,2000,S,20240202,20240202,20240202,,
100,5000000070,2024,0001,101,10004,1000,0001,,0000050167,21,UN,4500000029,00010,16930.62,USD,1000,S,20240205,20240205,20240205,,
100,5000000071,2024,0001,101,10002,1000,0001,,0000050167,20,UN,4500000029,00020,6652.8,USD,1000,S,20240130,20240130,20240130,,
100,5000000072,2024,0001,101,10001,1000,0001,,0000050167,11,UN,4500000029,00030,8572.52,USD,1000,S,20240201,20240201,20240201,,
100,5000000073,2024,0001,101,10004,1000,0001,,0000050167,10,UN,4500000029,00040,2859.6,USD,1000,S,20240203,20240203,20240203,,
100,5000000074,2024,0001,101,10153,1000,0001,,0000050236,24,UN,4500000030,00010,1947.84,USD,1000,S,20240131,20240131,20240131,,
100,5000000075,2024,0001,101,10134,1000,0001,,0000050194,8,UN,4500000031,00010,4025.68,USD,1000,S,20240202,20240202,20240202,,
100,5000000076,2024,0001,101,10000,2000,0001,,0000050043,33,UN,4500000032,00010,18845.64,USD,2000,S,20240207,20240207,20240207,,
100,5000000077,2024,0001,101,10000,2000,0001,,0000050043,7,UN,4500000032,00020,5551.91,USD,2000,S,20240208,20240208,20240208,,
100,5000000078,2024,0001,101,10004,2000,0001,,0000050043,9,UN,4500000032,00030,6482.52,USD,2000,S,20240208,20240208,20240208,,
100,5000000079,2024,0001,101,10003,2000,0001,,0000050043,43,UN,4500000032,00040,28762.27,USD,2000,S,20240203,20240203,20240203,,
100,5000000080,2024,0001,101,10148,2000,0001,,0000050286,5,UN,4500000033,00010,3883.1,USD,2000,S,20240204,20240204,20240204,,
100,5000000081,2024,0001,101,10134,2000,0001,,0000050286,6,UN,4500000033,00020,1564.08,USD,2000,S,20240204,20240204,20240204,,
100,5000000082,2024,0001,101,10004,1000,0001,,0000050287,22,UN,4500000034,00010,16306.84,USD,1000,S,20240209,20240209,20240209,,
100,5000000083,2024,0001,101,30010,1000,0001,,0000050287,15,L,4500000034,00020,2511.45,USD,1000,S,20240209,20240209,20240209,,
100,5000000084,2024,0001,101,10059,1000,0001,,0000050287,29,UN,4500000034,00030,20456.89,USD,1000,S,20240209,20240209,20240209,,
100,5000000085,2024,0001,101,10293,1000,0001,,0000050257,48,UN,4500000035,00010,12296.16,USD,1000,S,20240205,20240205,20240205,,
100,5000000086,2024,0001,101,10035,2000,0001,,0000050257,2,UN,4500000036,00010,396.9,USD,2000,S,20240208,20240208,20240208,,
100,5000000087,2024,0001,101,10181,2000,0001,,0000050257,49,UN,4500000036,00020,35908.18,USD,2000,S,20240208,20240208,20240208,,
100,5000000088,2024,0001,101,80007,2000,0001,,0000050167,18,AU,4500000037,00010,11572.56,USD,2000,S,20240210,20240210,20240210,,
100,5000000089,2024,0001,101,30021,2000,0001,,0000050167,18,L,4500000037,00020,1268.82,USD,2000,S,20240208,20240208,20240208,,
100,5000000090,2024,0001,101,10230,2000,0001,,0000050167,17,UN,4500000037,00030,4142.9,USD,2000,S,20240212,20240212,20240212,,
100,5000000091,2024,0001,101,10297,2000,0001,,0000050167,40,UN,4500000037,00040,29633.2,USD,2000,S,20240211,20240211,20240211,,
100,5000000092,2024,0001,101,30032,1000,0001,,0000050054,40,L,4500000038,00010,10668.0,USD,1000,S,20240209,20240209,20240209,,
100,5000000093,2024,0001,101,80022,1000,0001,,0000050054,26,AU,4500000038,00020,20087.6,USD,1000,S,20240208,20240208,20240208,,
100,5000000094,2024,0001,101,10002,1000,0001,,0000050054,25,UN,4500000038,00030,1567.25,USD,1000,S,20240209,20240209,20240209,,
100,5000000095,2024,0001,101,10218,1000,0001,,0000050054,49,UN,4500000038,00040,32183.2,USD,1000,S,20240210,20240210,20240210,,
100,5000000096,2024,0001,101,10123,1000,0001,,0000050178,6,UN,4500000039,00010,3384.48,USD,1000,S,20240209,20240209,20240209,,
100,5000000097,2024,0001,101,10041,1000,0001,,0000050178,2,UN,4500000039,00020,1594.68,USD,1000,S,20240213,20240213,20240213,,
100,5000000098,2024,0001,101,10207,1000,0001,,0000050178,42,UN,4500000039,00030,12567.24,USD,1000,S,20240212,20240212,20240212,,
100,5000000099,2024,0001,101,10048,1000,0001,,0000050178,11,UN,4500000039,00040,3207.49,USD,1000,S,20240212,20240212,20240212,,
100,5000000100,2024,0001,101,10237,1000,0001,,0000050143,39,UN,4500000040,00010,10734.36,USD,1000,S,20240214,20240214,20240214,,
100,5000000101,2024,0001,101,10193,1000,0001,,0000050143,50,UN,4500000040,00020,26334.0,USD,1000,S,20240214,20240214,20240214,,
100,5000000102,2024,0001,101,10265,1000,0001,,0000050143,38,UN,4500000040,00030,9641.36,USD,1000,S,20240212,20240212,20240212,,
100,5000000103,2024,0001,101,10264,1000,0001,,0000050143,5,UN,4500000040,00040,2002.35,USD,1000,S,20240215,20240215,20240215,,
100,5000000104,2024,0001,101,30035,1000,0001,,0000050233,5,L,4500000041,00010,1916.95,USD,1000,S,20240217,20240217,20240217,,
100,5000000105,2024,0001,101,10103,2000,0001,,0000050293,3,UN,4500000042,00010,1149.33,USD,2000,S,20240212,20240212,20240212,,
100,5000000106,2024,0001,101,10056,2000,0001,,0000050293,5,UN,4500000042,00020,1908.8,USD,2000,S,20240216,20240216,20240216,,
100,5000000107,2024,0001,101,10137,2000,0001,,0000050012,19,UN,4500000043,00010,5135.51,USD,2000,S,20240219,20240219,20240219,,
100,5000000108,2024,0001,101,80040,2000,0001,,0000050143,43,AU,4500000044,00010,18887.32,USD,2000,S,20240219,20240219,20240219,,
100,5000000109,2024,0001,101,10289,2000,0001,,0000050143,47,UN,4500000044,00020,16702.39,USD,2000,S,20240219,20240219,20240219,,
