MANDT,AUFNR,AUART,AUTYP,ERNAM,ERDAT,AENAM,AEDAT,KTEXT,BUKRS,WERKS,GSBER,KOKRS,KOSTL,KOSTV,IDAT1,IDAT2,IDAT3,PHAS0,PHAS1,PHAS2,PHAS3,LOEKZ,EQUNR,TPLNR
100,000000800001,PM02,30,PM_AUTO,20240101,,20240101,Mant. Preventivo 000000000001000184,1000,1000,,1000,MANT100,MANT100,20240101,20240102,,X,X,X,,,000000000001000184,1000-MIN-02
100,000000800002,PM02,30,PM_AUTO,20240102,,20240102,Mant. Preventivo 000000000001000077,1000,1000,,1000,MANT100,MANT100,20240102,20240103,,X,X,X,,,000000000001000077,1000-PLAN-02
100,000000800003,PM02,30,PM_AUTO,20240103,,20240103,Mant. Preventivo 000000000001000164,1000,1000,,1000,MANT100,MANT100,20240103,20240104,,X,X,X,,,000000000001000164,1000-MANT-02
100,000000800004,PM02,30,PM_AUTO,20240104,,20240104,Mant. Preventivo 000000000001000107,1000,1000,,1000,MANT100,MANT100,20240104,20240105,,X,X,X,,,000000000001000107,1000-LAB-01
100,000000800005,PM02,30,PM_AUTO,20240105,,20240105,Mant. Preventivo 000000000001000179,1000,1000,,1000,MANT100,MANT100,20240105,20240106,,X,X,X,,,000000000001000179,1000-MIN-01
100,000000800006,PM02,30,PM_AUTO,20240106,,20240106,Mant. Preventivo 000000000001000119,1000,1000,,1000,MANT100,MANT100,20240106,20240107,,X,X,X,,,000000000001000119,1000-REF-01
100,000000800007,PM02,30,PM_AUTO,20240107,,20240107,Mant. Preventivo 000000000001000105,1000,1000,,1000,MANT100,MANT100,20240107,20240108,,X,X,X,,,000000000001000105,1000-MANT-03
100,000000800008,PM02,30,PM_AUTO,20240108,,20240108,Mant. Preventivo 000000000001000056,1000,1000,,1000,MANT100,MANT100,20240108,20240109,,X,X,X,,,000000000001000056,1000-REF-02
100,000000800009,PM02,30,PM_AUTO,20240109,,20240109,Mant. Preventivo 000000000001000114,1000,1000,,1000,MANT100,MANT100,20240109,20240110,,X,X,X,,,000000000001000114,1000-MANT-01
100,000000800010,PM02,30,PM_AUTO,20240110,,20240110,Mant. Preventivo 000000000001000027,1000,1000,,1000,MANT100,MANT100,20240110,20240111,,X,X,X,,,000000000001000027,1000-MANT-01
