MANDT,KUNNR,LAND1,NAME1,NAME2,ORT01,PSTLZ,REGIO,SORTL,STRAS,TELF1,TELFX,ERDAT,ERNAM,KTOKD,SPRAS,LOEVM,AUFSD,LIFSD,STCD1,BRSCH,KUKLA
100,0000010000,CN,Delgado Metal Trading Corp,,Shenzhen,0433210,,DELGADO ME,Florencia Muñoz 9890,+56 2 3186 3794,,20230101,SAP_MIG,0001,S,,,,,MIN0,01
100,0000010001,CN,Albornoz Metal Trading Corp,,Shenzhen,2654230,,ALBORNOZ M,Calle Vicuña Mackenna 59 Dpto. 278,+56 9 6495 9310,,20230101,SAP_MIG,0001,S,,,,,MTAL,01
100,0000010002,CN,Caro Metal Trading Corp,,Shanghai,1316470,,CARO METAL,Calle Manuel Vargas 31 Of. 8325,+56 600 750 305,,20230101,SAP_MIG,0001,S,,,,,MIN0,03
100,0000010003,CN,Sánchez Metal Trading Corp,,Shenzhen,3953760,,SÁNCHEZ ME,Calle Víctor Toro 7969 Piso 3,+56 9 9210 1226,,20230101,SAP_MIG,0001,S,,,,,IND0,03
100,0000010004,CN,Molina Metal Trading Corp,,Shenzhen,9784800,,MOLINA MET,Samuel Manríquez 8462,+56 2 2948 2814,,20230101,SAP_MIG,0001,S,,,,,MTAL,01
100,0000010005,CN,Cornejo Metal Trading Corp,,Shanghai,2528800,,CORNEJO ME,Los Cactus 1543 Dpto. 291,+56 9 4727 8248,,20230101,SAP_MIG,0001,S,,,,,MIN0,01
100,0000010006,JP,Ibacache Metal Trading Corp,,Tokyo,8346570,,IBACACHE M,Calle Antonio Varas 4839 Dpto. 10,+56 2 2451 8347,,20230101,SAP_MIG,0001,S,,,,,IND0,01
100,0000010007,KR,Ortega Metal Trading Corp,,Busan,9973760,,ORTEGA MET,Calle Irarrázabal 270,+56 2 2965 1333,,20230101,SAP_MIG,0001,S,,,,,MIN0,02
100,0000010008,JP,Peña Metal Trading Corp,,Osaka,6247310,,PEÑA METAL,Juan Lara 401 Dpto. 4167,+56 2 3760 6474,,20230101,SAP_MIG,0001,S,,,,,MIN0,01
100,0000010009,KR,Astudillo Metal Trading Corp,,Busan,8723430,,ASTUDILLO ,Elisa Rojas 9097,+56 9 4208 1219,,20230101,SAP_MIG,0001,S,,,,,MTAL,02
100,0000010010,CN,Moya Metal Trading Corp,,Shanghai,3619390,,MOYA METAL,María Correa 454,+56 800 834 624,,20230101,SAP_MIG,0001,S,,,,,MTAL,01
100,0000010011,CN,Cortés Metal Trading Corp,,Beijing,1079910,,CORTÉS MET,Manuel Vargas 41,+56 52 292 7849,,20230101,SAP_MIG,0001,S,,,,,MIN0,02
100,0000010012,CN,González Metal Trading Corp,,Shenzhen,8412410,,GONZÁLEZ M,Carlos Vásquez 9534,+56 51 310 1640,,20230101,SAP_MIG,0001,S,,,,,MTAL,01
100,0000010013,KR,Núñez Metal Trading Corp,,Busan,2427860,,NÚÑEZ META,Calle Caupolicán 99,+56 2 3662 0450,,20230101,SAP_MIG,0001,S,,,,,IND0,01
