MANDT,VBELN,POSNR,PSTYV,ERDAT,ERNAM,MATNR,ARKTX,MATKL,WERKS,LGORT,CHARG,LFIMG,MEINS,VRKME,NTGEW,BRGEW,GEWEI,VOLUM,VOLEH,VGBEL,VGPOS
100,0080000001,000010,TAN,20240101,AUTO_SD,50004,Concentrado de Cobre,GRP_FERT,1000,0001,,237,TON,TON,237000,241740.0,KG,7.754,M3,0001000001,000010
100,0080000002,000010,TAN,20240102,AUTO_SD,50001,Concentrado de Cobre,GRP_FERT,1000,0001,,237,TON,TON,237000,241740.0,KG,17.561,M3,0001000002,000010
100,0080000003,000010,TAN,20240103,AUTO_SD,50006,Concentrado de Cobre,GRP_FERT,1000,0001,,102,TON,TON,102000,104040.0,KG,17.321,M3,0001000003,000010
100,0080000004,000010,TAN,20240104,AUTO_SD,50003,Concentrado de Cobre,GRP_FERT,1000,0001,,225,TON,TON,225000,229500.0,KG,15.004,M3,0001000004,000010
100,0080000004,000020,TAN,20240104,AUTO_SD,50003,Concentrado de Cobre,GRP_FERT,1000,0001,,93,TON,TON,93000,94860.0,KG,12.321,M3,0001000004,000020
100,0080000004,000030,TAN,20240104,AUTO_SD,50002,Concentrado de Cobre,GRP_FERT,1000,0001,,240,TON,TON,240000,244800.0,KG,11.532,M3,0001000004,000030
100,0080000005,000010,TAN,20240105,AUTO_SD,50008,Concentrado de Cobre,GRP_FERT,1000,0001,,285,TON,TON,285000,290700.0,KG,5.41,M3,0001000005,000010
100,0080000005,000020,TAN,20240105,AUTO_SD,50007,Concentrado de Cobre,GRP_FERT,1000,0001,,147,TON,TON,147000,149940.0,KG,5.174,M3,0001000005,000020
100,0080000006,000010,TAN,20240106,AUTO_SD,50007,Concentrado de Cobre,GRP_FERT,1000,0001,,108,TON,TON,108000,110160.0,KG,7.784,M3,0001000006,000010
100,0080000006,000020,TAN,20240106,AUTO_SD,50006,Concentrado de Cobre,GRP_FERT,1000,0001,,219,TON,TON,219000,223380.0,KG,4.014,M3,0001000006,000020
100,0080000006,000030,TAN,20240106,AUTO_SD,50005,Concentrado de Cobre,GRP_FERT,1000,0001,,240,TON,TON,240000,244800.0,KG,16.731,M3,0001000006,000030
100,0080000007,000010,TAN,20240107,AUTO_SD,50006,Concentrado de Cobre,GRP_FERT,1000,0001,,102,TON,TON,102000,104040.0,KG,16.649,M3,0001000007,000010
100,0080000007,000020,TAN,20240107,AUTO_SD,50008,Concentrado de Cobre,GRP_FERT,1000,0001,,144,TON,TON,144000,146880.0,KG,1.797,M3,0001000007,000020
100,0080000008,000010,TAN,20240108,AUTO_SD,50005,Concentrado de Cobre,GRP_FERT,1000,0001,,120,TON,TON,120000,122400.0,KG,2.619,M3,0001000008,000010
100,0080000009,000010,TAN,20240109,AUTO_SD,50003,Concentrado de Cobre,GRP_FERT,1000,0001,,39,TON,TON,39000,39780.0,KG,18.148,M3,0001000009,000010
100,0080000009,000020,TAN,20240109,AUTO_SD,50006,Concentrado de Cobre,GRP_FERT,1000,0001,,49,TON,TON,49000,49980.0,KG,2.098,M3,0001000009,000020
100,0080000010,000010,TAN,20240110,AUTO_SD,50004,Concentrado de Cobre,GRP_FERT,1000,0001,,73,TON,TON,73000,74460.0,KG,7.355,M3,0001000010,000010
100,0080000010,000020,TAN,20240110,AUTO_SD,50008,Concentrado de Cobre,GRP_FERT,1000,0001,,58,TON,TON,58000,59160.0,KG,14.777,M3,0001000010,000020
100,0080000010,000030,TAN,20240110,AUTO_SD,50005,Concentrado de Cobre,GRP_FERT,1000,0001,,21,TON,TON,21000,21420.0,KG,15.061,M3,0001000010,000030
100,0080000011,000010,TAN,20240111,AUTO_SD,50003,Concentrado de Cobre,GRP_FERT,1000,0001,,93,TON,TON,93000,94860.0,KG,9.526,M3,0001000011,000010
100,0080000011,000020,TAN,20240111,AUTO_SD,50008,Concentrado de Cobre,GRP_FERT,1000,0001,,189,TON,TON,189000,192780.0,KG,11.876,M3,0001000011,000020
100,0080000012,000010,TAN,20240112,AUTO_SD,50009,Concentrado de Cobre,GRP_FERT,1000,0001,,276,TON,TON,276000,281520.0,KG,8.017,M3,0001000012,000010
100,0080000012,000020,TAN,20240112,AUTO_SD,50008,Concentrado de Cobre,GRP_FERT,1000,0001,,288,TON,TON,288000,293760.0,KG,10.999,M3,0001000012,000020
100,0080000012,000030,TAN,20240112,AUTO_SD,50004,Concentrado de Cobre,GRP_FERT,1000,0001,,279,TON,TON,279000,284580.0,KG,12.177,M3,0001000012,000030
100,0080000013,000010,TAN,20240113,AUTO_SD,50007,Concentrado de Cobre,GRP_FERT,1000,0001,,74,TON,TON,74000,75480.0,KG,3.237,M3,0001000013,000010
100,0080000013,000020,TAN,20240113,AUTO_SD,50007,Concentrado de Cobre,GRP_FERT,1000,0001,,73,TON,TON,73000,74460.0,KG,6.794,M3,0001000013,000020
100,0080000013,000030,TAN,20240113,AUTO_SD,50008,Concentrado de Cobre,GRP_FERT,1000,0001,,36,TON,TON,36000,36720.0,KG,8.115,M3,0001000013,000030
100,0080000014,000010,TAN,20240114,AUTO_SD,50009,Concentrado de Cobre,GRP_FERT,1000,0001,,219,TON,TON,219000,223380.0,KG,3.523,M3,0001000014,000010
100,0080000015,000010,TAN,20240115,AUTO_SD,50007,Concentrado de Cobre,GRP_FERT,1000,0001,,117,TON,TON,117000,119340.0,KG,13.234,M3,0001000015,000010
100,0080000015,000020,TAN,20240115,AUTO_SD,50001,Concentrado de Cobre,GRP_FERT,1000,0001,,297,TON,TON,297000,302940.0,KG,2.618,M3,0001000015,000020
100,0080000016,000010,TAN,20240116,AUTO_SD,50008,Concentrado de Cobre,GRP_FERT,1000,0001,,132,TON,TON,132000,134640.0,KG,3.178,M3,0001000016,000010
100,0080000016,000020,TAN,20240116,AUTO_SD,50000,Concentrado de Cobre,GRP_FERT,1000,0001,,105,TON,TON,105000,107100.0,KG,2.887,M3,0001000016,000020
100,0080000016,000030,TAN,20240116,AUTO_SD,50002,Concentrado de Cobre,GRP_FERT,1000,0001,,66,TON,TON,66000,67320.0,KG,4.195,M3,0001000016,000030
100,0080000017,000010,TAN,20240117,AUTO_SD,50004,Concentrado de Cobre,GRP_FERT,1000,0001,,216,TON,TON,216000,220320.0,KG,8.316,M3,0001000017,000010
100,0080000018,000010,TAN,20240118,AUTO_SD,50008,Concentrado de Cobre,GRP_FERT,1000,0001,,216,TON,TON,216000,220320.0,KG,19.1,M3,0001000018,000010
100,0080000018,000020,TAN,20240118,AUTO_SD,50006,Concentrado de Cobre,GRP_FERT,1000,0001,,147,TON,TON,147000,149940.0,KG,19.266,M3,0001000018,000020
100,0080000019,000010,TAN,20240119,AUTO_SD,50009,Concentrado de Cobre,GRP_FERT,1000,0001,,171,TON,TON,171000,174420.0,KG,17.687,M3,0001000019,000010
100,0080000019,000020,TAN,20240119,AUTO_SD,50000,Concentrado de Cobre,GRP_FERT,1000,0001,,81,TON,TON,81000,82620.0,KG,5.006,M3,0001000019,000020
100,0080000020,000010,TAN,20240120,AUTO_SD,50005,Concentrado de Cobre,GRP_FERT,1000,0001,,53,TON,TON,53000,54060.0,KG,11.234,M3,0001000020,000010
100,0080000020,000020,TAN,20240120,AUTO_SD,50007,Concentrado de Cobre,GRP_FERT,1000,0001,,54,TON,TON,54000,55080.0,KG,17.959,M3,0001000020,000020
100,0080000020,000030,TAN,20240120,AUTO_SD,50005,Concentrado de Cobre,GRP_FERT,1000,0001,,46,TON,TON,46000,46920.0,KG,16.505,M3,0001000020,000030
100,0080000021,000010,TAN,20240121,AUTO_SD,50009,Concentrado de Cobre,GRP_FERT,1000,0001,,65,TON,TON,65000,66300.0,KG,18.186,M3,0001000021,000010
100,0080000021,000020,TAN,20240121,AUTO_SD,50000,Concentrado de Cobre,GRP_FERT,1000,0001,,35,TON,TON,35000,35700.0,KG,14.432,M3,0001000021,000020
100,0080000022,000010,TAN,20240122,AUTO_SD,50001,Concentrado de Cobre,GRP_FERT,1000,0001,,165,TON,TON,165000,168300.0,KG,12.675,M3,0001000022,000010
