MANDT,VBELN,ERDAT,ERZET,ERNAM,AUDAT,VBTYP,AUART,AUGRU,NETWR,WAERK,VKORG,VTWEG,SPART,VKBUR,VKGRP,KUNNR,BSTNK,BSTDK,LIFSK,FAKSK,KNUMV,VDATU,BUKRS_VF,AEDAT
100,0001000001,20240101,100908,ASOTO,20240101,C,TA,,1599612.54,USD,3000,10,10,S01,002,0000010002,PO-CLI-78562,20240101,,,0000448510,20240117,3000,20240101
100,0001000002,20240102,120205,MROJAS,20240102,C,TA,,1355215.77,USD,3000,10,10,S01,003,0000010002,PO-CLI-86966,20240102,,,0000759269,20240123,3000,20240102
100,0001000003,20240103,132944,MROJAS,20240103,C,TA,,515428.44,USD,3000,10,10,C01,004,0000010000,PO-CLI-49688,20240103,,,0000648544,20240129,3000,20240103
100,0001000004,20240104,085709,ASOTO,20240104,C,TA,,4064827.11,USD,3000,10,10,S02,004,0000010000,PO-CLI-71799,20240104,,,0000020582,20240125,3000,20240104
100,0001000005,20240105,062736,MROJAS,20240105,C,TA,,3406063.62,USD,3000,10,10,C01,001,0000010001,PO-CLI-45107,20240105,,,0000936250,20240201,3000,20240105
100,0001000006,20240106,151318,ASOTO,20240106,C,TA,,4714073.4,USD,3000,10,10,N01,004,0000010002,PO-CLI-26920,20240106,,,0000181709,20240119,3000,20240106
100,0001000007,20240107,182249,JPEREZ,20240107,C,TA,,1762111.74,USD,3000,10,10,C01,003,0000010000,PO-CLI-29815,20240107,,,0000894864,20240205,3000,20240107
100,0001000008,20240108,134832,MROJAS,20240108,C,TA,,949608.0,USD,3000,10,10,N01,002,0000010000,PO-CLI-94815,20240108,,,0000381406,20240125,3000,20240108
100,0001000009,20240109,125826,MROJAS,20240109,C,TA,,584547.39,USD,3000,10,10,C01,003,0000010026,PO-CLI-13901,20240109,,,0000464078,20240120,3000,20240109
100,0001000010,20240110,155809,ASOTO,20240110,C,TA,,1114252.54,USD,3000,10,10,S02,004,0000010042,PO-CLI-94394,20240110,,,0000215099,20240203,3000,20240110
