MANDT,VBELN,POSNR,MATNR,ARKTX,PSTYV,FKREL,WERKS,LGORT,KWMENG,MEINS,NETWR,WAERK,MATKL,PRODH,KPEIN,KMEIN,NTGEW,GEWEI,ERDAT,ERNAM,UEPOS,ABGRU
100,0001000001,000010,50004,Concentrado de Cobre,TAN,A,1000,0001,237,TON,1599612.54,USD,GRP_FERT,MINFERT,6749.42,TON,237000,KG,20240101,MROJAS,000000,
100,0001000002,000010,50001,Concentrado de Cobre,TAN,A,1000,0001,237,TON,1355215.77,USD,GRP_FERT,MINFERT,5718.21,TON,237000,KG,20240102,JPEREZ,000000,
100,0001000003,000010,50006,Concentrado de Cobre,TAN,A,1000,0001,102,TON,515428.44,USD,GRP_FERT,MINFERT,5053.22,TON,102000,KG,20240103,ASOTO,000000,
100,0001000004,000010,50003,Concentrado de Cobre,TAN,A,1000,0001,225,TON,1882881.0,USD,GRP_FERT,MINFERT,8368.36,TON,225000,KG,20240104,ASOTO,000000,
100,0001000004,000020,50003,Concentrado de Cobre,TAN,A,1000,0001,93,TON,576941.31,USD,GRP_FERT,MINFERT,6203.67,TON,93000,KG,20240104,MROJAS,000000,
100,0001000004,000030,50002,Concentrado de Cobre,TAN,A,1000,0001,240,TON,1605004.8,USD,GRP_FERT,MINFERT,6687.52,TON,240000,KG,20240104,JPEREZ,000000,
100,0001000005,000010,50008,Concentrado de Cobre,TAN,A,1000,0001,285,TON,2251061.1,USD,GRP_FERT,MINFERT,7898.46,TON,285000,KG,20240105,ASOTO,000000,
100,0001000005,000020,50007,Concentrado de Cobre,TAN,A,1000,0001,147,TON,1155002.52,USD,GRP_FERT,MINFERT,7857.16,TON,147000,KG,20240105,ASOTO,000000,
100,0001000006,000010,50007,Concentrado de Cobre,TAN,A,1000,0001,108,TON,921530.52,USD,GRP_FERT,MINFERT,8532.69,TON,108000,KG,20240106,ASOTO,000000,
100,0001000006,000020,50006,Concentrado de Cobre,TAN,A,1000,0001,219,TON,1824778.08,USD,GRP_FERT,MINFERT,8332.32,TON,219000,KG,20240106,ASOTO,000000,
100,0001000006,000030,50005,Concentrado de Cobre,TAN,A,1000,0001,240,TON,1967764.8,USD,GRP_FERT,MINFERT,8199.02,TON,240000,KG,20240106,JPEREZ,000000,
