MANDT,VBELN,POSNR,PARVW,KUNNR,LIFNR,LAND1,ADRNR
100,0001000001,000000,AG,0000010002,,CN,0000074520
100,0001000001,000000,WE,0000010002,,CN,0000006256
100,0001000001,000000,RE,0000010002,,CN,0000072220
100,0001000001,000000,RG,0000010002,,CN,0000010032
100,0001000002,000000,AG,0000010002,,CN,0000099268
100,0001000002,000000,WE,0000010002,,CN,0000087853
100,0001000002,000000,RE,0000010002,,CN,0000058976
100,0001000002,000000,RG,0000010002,,CN,0000081765
100,0001000003,000000,AG,0000010000,,CN,0000047282
100,0001000003,000000,WE,0000010000,,CN,0000090527
100,0001000003,000000,RE,0000010000,,CN,0000088317
100,0001000003,000000,RG,0000010000,,CN,0000090479
100,0001000004,000000,AG,0000010000,,CN,0000076707
100,0001000004,000000,WE,0000010000,,CN,0000031802
100,0001000004,000000,RE,0000010000,,CN,0000026390
100,0001000004,000000,RG,0000010000,,CN,0000038645
100,0001000005,000000,AG,0000010001,,CN,0000054676
100,0001000005,000000,WE,0000010001,,CN,0000062042
100,0001000005,000000,RE,0000010001,,CN,0000015328
100,0001000005,000000,RG,0000010001,,CN,0000064853
100,0001000006,000000,AG,0000010002,,CN,0000020489
100,0001000006,000000,WE,0000010002,,CN,0000079397
100,0001000006,000000,RE,0000010002,,CN,0000064512
100,0001000006,000000,RG,0000010002,,CN,0000013226
100,0001000007,000000,AG,0000010000,,CN,0000067553
100,0001000007,000000,WE,0000010000,,CN,0000079206
100,0001000007,000000,RE,0000010000,,CN,0000087751
100,0001000007,000000,RG,0000010000,,CN,0000013651
100,0001000008,000000,AG,0000010000,,CN,0000018059
100,0001000008,000000,WE,0000010000,,CN,0000016120
100,0001000008,000000,RE,0000010000,,CN,0000026463
100,0001000008,000000,RG,0000010000,,CN,0000057555
100,0001000009,000000,AG,0000010026,,US,0000001304
100,0001000009,000000,WE,0000010026,,US,0000094061
100,0001000009,000000,RE,0000010026,,US,0000067810
100,0001000009,000000,RG,0000010026,,US,0000009121
100,0001000010,000000,AG,0000010042,,JP,0000081837
100,0001000010,000000,WE,0000010042,,JP,0000081028
100,0001000010,000000,RE,0000010042,,JP,0000085464
100,0001000010,000000,RG,0000010042,,JP,0000057953
100,0001000011,000000,AG,0000010002,,CN,0000095226
100,0001000011,000000,WE,0000010002,,CN,0000055411
100,0001000011,000000,RE,0000010002,,CN,0000066228
100,0001000011,000000,RG,0000010002,,CN,0000014476
100,0001000012,000000,AG,0000010000,,CN,0000047353
100,0001000012,000000,WE,0000010000,,CN,0000059548
100,0001000012,000000,RE,0000010000,,CN,0000012844
100,0001000012,000000,RG,0000010000,,CN,0000019210
100,0001000013,000000,AG,0000010016,,KR,0000097845
100,0001000013,000000,WE,0000010016,,KR,0000020558
100,0001000013,000000,RE,0000010016,,KR,0000073273
100,0001000013,000000,RG,0000010016,,KR,0000048410
100,0001000014,000000,AG,0000010000,,CN,0000008856
100,0001000014,000000,WE,0000010000,,CN,0000005857
100,0001000014,000000,RE,0000010000,,CN,0000054733
100,0001000014,000000,RG,0000010000,,CN,0000063069
100,0001000015,000000,AG,0000010001,,CN,0000096458
100,0001000015,000000,WE,0000010001,,CN,0000036357
100,0001000015,000000,RE,0000010001,,CN,0000084662
100,0001000015,000000,RG,0000010001,,CN,0000011604
100,0001000016,000000,AG,0000010000,,CN,0000052665
100,0001000016,000000,WE,0000010000,,CN,0000077188
100,0001000016,000000,RE,0000010000,,CN,0000005897
100,0001000016,000000,RG,0000010000,,CN,0000064419
100,0001000017,000000,AG,0000010000,,CN,0000018673
100,0001000017,000000,WE,0000010000,,CN,0000054110
100,0001000017,000000,RE,0000010000,,CN,0000042496
100,0001000017,000000,RG,0000010000,,CN,0000033808
100,0001000018,000000,AG,0000010001,,CN,0000039927
100,0001000018,000000,WE,0000010001,,CN,0000074482
100,0001000018,000000,RE,0000010001,,CN,0000053314
100,0001000018,000000,RG,0000010001,,CN,0000058456
100,0001000019,000000,AG,0000010000,,CN,0000066890
100,0001000019,000000,WE,0000010000,,CN,0000036873
100,0001000019,000000,RE,0000010000,,CN,0000005962
100,0001000019,000000,RG,0000010000,,CN,0000021158
100,0001000020,000000,AG,0000010020,,CN,0000001256
100,0001000020,000000,WE,0000010020,,CN,0000088173
100,0001000020,000000,RE,0000010020,,CN,0000022746
100,0001000020,000000,RG,0000010020,,CN,0000054155
100,0001000021,000000,AG,0000010022,,CN,0000046901
100,0001000021,000000,WE,0000010022,,CN,0000025102
100,0001000021,000000,RE,0000010022,,CN,0000011793
100,0001000021,000000,RG,0000010022,,CN,0000080406
100,0001000022,000000,AG,0000010002,,CN,0000097777
100,0001000022,000000,WE,0000010002,,CN,0000008527
100,0001000022,000000,RE,0000010002,,CN,0000016703
100,0001000022,000000,RG,0000010002,,CN,0000034030
100,0001000023,000000,AG,0000010001,,CN,0000051362
100,0001000023,000000,WE,0000010001,,CN,0000025508
100,0001000023,000000,RE,0000010001,,CN,0000043871
100,0001000023,000000,RG,0000010001,,CN,0000010723
100,0001000024,000000,AG,0000010000,,CN,0000004371
100,0001000024,000000,WE,0000010000,,CN,0000049466
100,0001000024,000000,RE,0000010000,,CN,0000041063
100,0001000024,000000,RG,0000010000,,CN,0000090881
100,0001000025,000000,AG,0000010002,,CN,0000025229
100,0001000025,000000,WE,0000010002,,CN,0000014157
100,0001000025,000000,RE,0000010002,,CN,0000013460
100,0001000025,000000,RG,0000010002,,CN,0000001611
100,0001000026,000000,AG,0000010000,,CN,0000019322
100,0001000026,000000,WE,0000010000,,CN,0000061542
100,0001000026,000000,RE,0000010000,,CN,0000040459
100,0001000026,000000,RG,0000010000,,CN,0000079080
100,0001000027,000000,AG,0000010027,,JP,0000039274
100,0001000027,000000,WE,0000010027,,JP,0000054880
100,0001000027,000000,RE,0000010027,,JP,0000043073
100,0001000027,000000,RG,0000010027,,JP,0000021271
100,0001000028,000000,AG,0000010021,,KR,0000022826
100,0001000028,000000,WE,0000010021,,KR,0000028698
100,0001000028,000000,RE,0000010021,,KR,0000034341
100,0001000028,000000,RG,0000010021,,KR,0000094220
100,0001000029,000000,AG,0000010000,,CN,0000025125
100,0001000029,000000,WE,0000010000,,CN,0000069804
100,0001000029,000000,RE,0000010000,,CN,0000049571
100,0001000029,000000,RG,0000010000,,CN,0000091011
100,0001000030,000000,AG,0000010000,,CN,0000042183
100,0001000030,000000,WE,0000010000,,CN,0000093388
100,0001000030,000000,RE,0000010000,,CN,0000049006
100,0001000030,000000,RG,0000010000,,CN,0000068876
100,0001000031,000000,AG,0000010001,,CN,0000081413
100,0001000031,000000,WE,0000010001,,CN,0000044090
100,0001000031,000000,RE,0000010001,,CN,0000055851
100,0001000031,000000,RG,0000010001,,CN,0000059134
100,0001000032,000000,AG,0000010002,,CN,0000096970
100,0001000032,000000,WE,0000010002,,CN,0000071189
100,0001000032,000000,RE,0000010002,,CN,0000034228
100,0001000032,000000,RG,0000010002,,CN,0000001119
100,0001000033,000000,AG,0000010014,,US,0000056203
100,0001000033,000000,WE,0000010014,,US,0000091481
100,0001000033,000000,RE,0000010014,,US,0000054748
100,0001000033,000000,RG,0000010014,,US,0000027471
100,0001000034,000000,AG,0000010021,,KR,0000004222
100,0001000034,000000,WE,0000010021,,KR,0000018237
100,0001000034,000000,RE,0000010021,,KR,0000020145
100,0001000034,000000,RG,0000010021,,KR,0000043287
100,0001000035,000000,AG,0000010000,,CN,0000009109
100,0001000035,000000,WE,0000010000,,CN,0000050580
100,0001000035,000000,RE,0000010000,,CN,0000037201
100,0001000035,000000,RG,0000010000,,CN,0000026987
100,0001000036,000000,AG,0000010008,,JP,0000058423
100,0001000036,000000,WE,0000010008,,JP,0000008385
100,0001000036,000000,RE,0000010008,,JP,0000052329
100,0001000036,000000,RG,0000010008,,JP,0000079279
100,0001000037,000000,AG,0000010019,,KR,0000035885
100,0001000037,000000,WE,0000010019,,KR,0000082325
100,0001000037,000000,RE,0000010019,,KR,0000070483
100,0001000037,000000,RG,0000010019,,KR,0000038259
100,0001000038,000000,AG,0000010001,,CN,0000051993
100,0001000038,000000,WE,0000010001,,CN,0000004952
100,0001000038,000000,RE,0000010001,,CN,0000001408
100,0001000038,000000,RG,0000010001,,CN,0000032848
100,0001000039,000000,AG,0000010001,,CN,0000088786
100,0001000039,000000,WE,0000010001,,CN,0000035816
100,0001000039,000000,RE,0000010001,,CN,0000020120
100,0001000039,000000,RG,0000010001,,CN,0000057758
100,0001000040,000000,AG,0000010002,,CN,0000089124
100,0001000040,000000,WE,0000010002,,CN,0000087681
100,0001000040,000000,RE,0000010002,,CN,0000008281
100,0001000040,000000,RG,0000010002,,CN,0000028911
100,0001000041,000000,AG,0000010002,,CN,0000036498
100,0001000041,000000,WE,0000010002,,CN,0000085190
100,0001000041,000000,RE,0000010002,,CN,0000081778
100,0001000041,000000,RG,0000010002,,CN,0000048363
100,0001000042,000000,AG,0000010000,,CN,0000065985
100,0001000042,000000,WE,0000010000,,CN,0000077001
100,0001000042,000000,RE,0000010000,,CN,0000092358
100,0001000042,000000,RG,0000010000,,CN,0000001743
100,0001000043,000000,AG,0000010000,,CN,0000070689
100,0001000043,000000,WE,0000010000,,CN,0000007088
100,0001000043,000000,RE,0000010000,,CN,0000087164
100,0001000043,000000,RG,0000010000,,CN,0000032551
100,0001000044,000000,AG,0000010008,,JP,0000032103
100,0001000044,000000,WE,0000010008,,JP,0000055577
100,0001000044,000000,RE,0000010008,,JP,0000023126
100,0001000044,000000,RG,0000010008,,JP,0000079411
100,0001000045,000000,AG,0000010000,,CN,0000072464
100,0001000045,000000,WE,0000010000,,CN,0000095244
100,0001000045,000000,RE,0000010000,,CN,0000023030
100,0001000045,000000,RG,0000010000,,CN,0000033724
100,0001000046,000000,AG,0000010002,,CN,0000045689
100,0001000046,000000,WE,0000010002,,CN,0000066796
100,0001000046,000000,RE,0000010002,,CN,0000092947
100,0001000046,000000,RG,0000010002,,CN,0000064045
100,0001000047,000000,AG,0000010041,,KR,0000084463
100,0001000047,000000,WE,0000010041,,KR,0000093273
100,0001000047,000000,RE,0000010041,,KR,0000050378
100,0001000047,000000,RG,0000010041,,KR,0000052123
100,0001000048,000000,AG,0000010024,,KR,0000091268
100,0001000048,000000,WE,0000010024,,KR,0000054768
100,0001000048,000000,RE,0000010024,,KR,0000068808
100,0001000048,000000,RG,0000010024,,KR,0000054637
100,0001000049,000000,AG,0000010000,,CN,0000088186
100,0001000049,000000,WE,0000010000,,CN,0000099685
100,0001000049,000000,RE,0000010000,,CN,0000013214
100,0001000049,000000,RG,0000010000,,CN,0000001247
100,0001000050,000000,AG,0000010030,,KR,0000000405
100,0001000050,000000,WE,0000010030,,KR,0000059890
100,0001000050,000000,RE,0000010030,,KR,0000091529
100,0001000050,000000,RG,0000010030,,KR,0000052666
100,0001000051,000000,AG,0000010002,,CN,0000096890
100,0001000051,000000,WE,0000010002,,CN,0000080294
100,0001000051,000000,RE,0000010002,,CN,0000010666
100,0001000051,000000,RG,0000010002,,CN,0000045657
100,0001000052,000000,AG,0000010045,,JP,0000013825
100,0001000052,000000,WE,0000010045,,JP,0000057003
100,0001000052,000000,RE,0000010045,,JP,0000093817
100,0001000052,000000,RG,0000010045,,JP,0000003831
100,0001000053,000000,AG,0000010002,,CN,0000015164
100,0001000053,000000,WE,0000010002,,CN,0000038139
100,0001000053,000000,RE,0000010002,,CN,0000011493
100,0001000053,000000,RG,0000010002,,CN,0000014600
100,0001000054,000000,AG,0000010002,,CN,0000059741
100,0001000054,000000,WE,0000010002,,CN,0000019324
100,0001000054,000000,RE,0000010002,,CN,0000078836
100,0001000054,000000,RG,0000010002,,CN,0000037145
100,0001000055,000000,AG,0000010031,,US,0000020866
100,0001000055,000000,WE,0000010031,,US,0000002827
100,0001000055,000000,RE,0000010031,,US,0000071820
100,0001000055,000000,RG,0000010031,,US,0000051418
100,0001000056,000000,AG,0000010025,,CN,0000018031
100,0001000056,000000,WE,0000010025,,CN,0000057919
100,0001000056,000000,RE,0000010025,,CN,0000091221
100,0001000056,000000,RG,0000010025,,CN,0000063235
100,0001000057,000000,AG,0000010001,,CN,0000039675
100,0001000057,000000,WE,0000010001,,CN,0000090176
100,0001000057,000000,RE,0000010001,,CN,0000078140
100,0001000057,000000,RG,0000010001,,CN,0000022609
100,0001000058,000000,AG,0000010000,,CN,0000039108
100,0001000058,000000,WE,0000010000,,CN,0000074898
100,0001000058,000000,RE,0000010000,,CN,0000016415
100,0001000058,000000,RG,0000010000,,CN,0000013034
100,0001000059,000000,AG,0000010002,,CN,0000098707
100,0001000059,000000,WE,0000010002,,CN,0000004589
100,0001000059,000000,RE,0000010002,,CN,0000011091
100,0001000059,000000,RG,0000010002,,CN,0000016347
100,0001000060,000000,AG,0000010000,,CN,0000047064
100,0001000060,000000,WE,0000010000,,CN,0000036359
100,0001000060,000000,RE,0000010000,,CN,0000016842
100,0001000060,000000,RG,0000010000,,CN,0000095566
100,0001000061,000000,AG,0000010000,,CN,0000008646
100,0001000061,000000,WE,0000010000,,CN,0000043170
100,0001000061,000000,RE,0000010000,,CN,0000083910
100,0001000061,000000,RG,0000010000,,CN,0000011663
100,0001000062,000000,AG,0000010002,,CN,0000088843
100,0001000062,000000,WE,0000010002,,CN,0000069689
100,0001000062,000000,RE,0000010002,,CN,0000072309
100,0001000062,000000,RG,0000010002,,CN,0000077938
100,0001000063,000000,AG,0000010002,,CN,0000011815
100,0001000063,000000,WE,0000010002,,CN,0000083189
100,0001000063,000000,RE,0000010002,,CN,0000010417
100,0001000063,000000,RG,0000010002,,CN,0000010053
100,0001000064,000000,AG,0000010002,,CN,0000088411
100,0001000064,000000,WE,0000010002,,CN,0000068619
100,0001000064,000000,RE,0000010002,,CN,0000029501
100,0001000064,000000,RG,0000010002,,CN,0000022914
100,0001000065,000000,AG,0000010049,,JP,0000084276
100,0001000065,000000,WE,0000010049,,JP,0000067572
100,0001000065,000000,RE,0000010049,,JP,0000004644
100,0001000065,000000,RG,0000010049,,JP,0000060694
100,0001000066,000000,AG,0000010000,,CN,0000032786
100,0001000066,000000,WE,0000010000,,CN,0000029635
100,0001000066,000000,RE,0000010000,,CN,0000061696
100,0001000066,000000,RG,0000010000,,CN,0000051821
100,0001000067,000000,AG,0000010000,,CN,0000072106
100,0001000067,000000,WE,0000010000,,CN,0000064956
100,0001000067,000000,RE,0000010000,,CN,0000089357
100,0001000067,000000,RG,0000010000,,CN,0000093628
100,0001000068,000000,AG,0000010001,,CN,0000015076
100,0001000068,000000,WE,0000010001,,CN,0000034542
100,0001000068,000000,RE,0000010001,,CN,0000091876
100,0001000068,000000,RG,0000010001,,CN,0000032422
100,0001000069,000000,AG,0000010000,,CN,0000062810
100,0001000069,000000,WE,0000010000,,CN,0000008042
100,0001000069,000000,RE,0000010000,,CN,0000066829
100,0001000069,000000,RG,0000010000,,CN,0000055978
100,0001000070,000000,AG,0000010000,,CN,0000047368
100,0001000070,000000,WE,0000010000,,CN,0000097378
100,0001000070,000000,RE,0000010000,,CN,0000077190
100,0001000070,000000,RG,0000010000,,CN,0000069320
100,0001000071,000000,AG,0000010001,,CN,0000054816
100,0001000071,000000,WE,0000010001,,CN,0000072155
